N	2gram	Medvedev_F_1	UchenyiS
1	и в	24	14
2	формальный метод	9	11
3	а не	10	10
4	не только	7	10
5	формального метода	16	9
6	и не	20	8
7	прежде всего	22	8
8	то что	8	7
9	в этом	15	7
10	не может	16	7
11	в искусстве	5	6
12	может быть	14	6
13	в художественном	3	5
14	хотя бы	5	5
15	художественное произведение	6	5
16	перестает быть	3	5
17	все это	9	5
18	то же	10	5
19	но и	7	4
20	в этой	6	4
21	в их	11	4
22	в россии	3	4
23	конечно не	4	4
24	с другой	5	4
25	что такое	2	4
26	как такового	2	3
27	но в	5	3
28	как и	11	3
29	все же	3	3
30	истории литературы	12	3
31	в своей	11	3
32	в частности	4	3
33	бы то	3	3
34	произведения искусства	3	3
35	для этого	4	3
36	то ни	3	3
37	же время	8	3
38	для него	3	3
39	это не	2	3
40	в то	9	3
41	не как	4	3
42	было бы	6	3
43	в области	3	3
44	не о	3	3
45	ни было	2	3
46	у нас	5	3
47	смысле этого	3	2
48	но не	3	2
49	в том	6	2
50	в широком	3	2
51	художественной формы	2	2
52	по существу	2	2
53	художественного произведения	23	2
54	мы не	3	2
55	с его	4	2
56	не есть	2	2
57	не в	8	2
58	всех этих	3	2
59	но это	3	2
60	должна быть	7	2
61	в противовес	2	2
62	если бы	4	2
63	литературы и	2	2
64	только в	2	2
65	искусства как	2	2
66	и с	8	2
67	теоретической поэтики	3	2
68	сих пор	6	2
69	при таком	4	2
70	материала и	3	2
71	его и	2	2
72	даже и	2	2
73	именно как	12	2
74	что он	3	2
75	в себе	3	2
76	в системе	2	2
77	как раз	2	2
78	до сих	6	2
79	формы и	5	2
80	в самом	5	2
81	художественных произведений	4	2
82	по себе	5	2
83	фактов и	2	2
84	сводится к	3	2
85	не приходится	2	2
86	ничего не	2	2
87	самом деле	6	2
88	а как	2	2
89	и является	2	2
90	что и	2	2
91	в его	23	2
92	между тем	2	2
93	таким образом	13	2
94	художественном произведении	3	2
95	как таковой	6	2
