N	2gram	Tiupa_Hudo_1	VLabPisa
1	в этом	11	26
2	и в	14	25
3	и т	11	24
4	не только	12	22
5	может быть	5	21
6	и не	2	19
7	т е	4	17
8	не может	7	17
9	в его	8	15
10	т д	3	15
11	прежде всего	11	13
12	в том	12	13
13	этом отношении	3	13
14	в частности	5	12
15	все это	2	12
16	из них	4	11
17	в качестве	9	10
18	о том	12	10
19	в художественном	2	10
20	об этом	5	9
21	что в	6	9
22	для него	10	9
23	но и	5	9
24	то же	9	9
25	т п	8	9
26	все эти	3	8
27	в своем	4	8
28	не следует	2	8
29	же в	3	7
30	как и	9	7
31	том что	16	7
32	было бы	6	7
33	в конечном	2	7
34	отношению к	8	7
35	по отношению	8	7
36	не было	4	7
37	а не	12	7
38	у него	9	6
39	это не	7	6
40	в себе	11	6
41	то что	8	6
42	в нем	3	6
43	так и	13	6
44	и его	5	6
45	между тем	8	6
46	в то	8	6
47	в результате	2	5
48	тому что	4	5
49	же время	8	5
50	конечном счете	2	5
51	все же	3	5
52	в пределах	3	5
53	связи с	4	5
54	как бы	7	5
55	один из	4	5
56	в их	2	5
57	приводит к	3	5
58	на основе	2	5
59	действующих лиц	2	5
60	только в	5	5
61	не в	7	5
62	к тому	7	4
63	никогда не	6	4
64	перед нами	5	4
65	в целом	2	4
66	что он	9	4
67	с его	5	4
68	можно сказать	4	4
69	в ее	3	4
70	одна из	2	4
71	в своей	10	4
72	в самом	4	4
73	даже в	3	4
74	как раз	4	4
75	в связи	3	4
76	с ними	2	4
77	в этой	8	4
78	и к	4	3
79	и от	4	3
80	в конце	4	3
81	только что	4	3
82	мы знаем	2	3
83	в творчестве	3	3
84	но как	2	3
85	с этим	3	3
86	что не	2	3
87	со своим	2	3
88	например в	2	3
89	и он	5	3
90	его в	3	3
91	жизни и	5	3
92	именно в	7	3
93	в значительной	2	3
94	того что	4	3
95	и по	3	3
96	никак не	2	3
97	точки зрения	5	3
98	она не	4	3
99	всего лишь	4	3
100	том как	3	3
101	не менее	5	2
102	на вопрос	2	2
103	в творческом	3	2
104	из рассказа	3	2
105	и быть	4	2
106	произведения не	2	2
107	своих героев	2	2
108	то о	2	2
109	по себе	2	2
110	что при	3	2
111	остановимся на	2	2
112	до сих	2	2
113	и потому	2	2
114	но не	3	2
115	в системе	2	2
116	еще не	7	2
117	одной из	2	2
118	если бы	3	2
119	в ней	4	2
120	что она	4	2
121	и даже	3	2
122	отнюдь не	3	2
123	если в	2	2
124	сих пор	2	2
125	а в	7	2
126	но с	2	2
127	при всей	2	2
128	человека в	6	2
129	того чтобы	3	2
130	и для	3	2
131	можно было	5	2
132	в своих	3	2
133	не столько	2	2
134	пока еще	2	2
135	хотя и	2	2
136	лишь в	3	2
137	не о	2	2
138	он не	4	2
139	они не	2	2
140	говорить о	3	2
141	в другом	2	2
142	того или	2	2
143	будто бы	3	2
144	как он	2	2
145	которая не	2	2
146	же как	2	2
147	но в	5	2
148	как от	2	2
