N	2gram	Tiupa_Narr_2	OGranits
1	и в	13	13
2	и его	3	12
3	прежде всего	6	9
4	не может	8	8
5	и не	14	8
6	может быть	10	8
7	и т.п	6	7
8	точки зрения	5	7
9	в его	6	7
10	таким образом	5	6
11	не только	26	6
12	то что	8	6
13	только в	11	6
14	как бы	6	6
15	все же	6	5
16	с точки	2	5
17	хотя бы	2	5
18	и т.д	4	5
19	в процессе	2	5
20	то же	4	4
21	не является	4	4
22	в своей	4	4
23	на фоне	2	4
24	мы не	2	4
25	было бы	2	4
26	в сознании	2	4
27	но в	6	4
28	и уже	4	3
29	отношению к	5	3
30	что в	4	3
31	никогда не	6	3
32	но и	15	3
33	так и	9	3
34	по отношению	5	3
35	и все	4	3
36	точку зрения	3	3
37	превращается в	2	3
38	самом деле	3	3
39	в ее	4	3
40	да и	3	3
41	как и	4	3
42	не в	8	3
43	не столько	5	3
44	в себе	8	3
45	говорить о	2	3
46	и для	3	3
47	но для	2	3
48	не менее	4	2
49	для себя	3	2
50	с этой	3	2
51	а как	3	2
52	и тем	5	2
53	в нем	5	2
54	в целом	3	2
55	своего рода	9	2
56	данном случае	6	2
57	а не	17	2
58	с другой	5	2
59	собственно говоря	2	2
60	а в	9	2
61	с одной	5	2
62	в течение	2	2
63	все эти	3	2
64	вовсе не	2	2
65	те же	2	2
66	роль в	2	2
67	или иного	3	2
68	к тому	9	2
69	и к	6	2
70	как в	5	2
71	если бы	4	2
72	в чем	2	2
73	не имеет	2	2
74	в том	14	2
75	так же	2	2
76	том что	13	2
77	с ними	3	2
78	в своих	2	2
79	в данном	10	2
80	что они	3	2
81	в этом	13	2
82	между тем	3	2
83	при этом	14	2
84	всей своей	2	2
85	соответствии с	3	2
86	для него	4	2
87	в другом	4	2
88	одной стороны	5	2
89	несмотря на	2	2
90	того или	3	2
91	в области	2	2
92	в самом	2	2
93	героя и	2	2
94	вслед за	6	2
95	имеет место	2	2
96	бы в	2	2
97	в ней	2	2
98	а также	6	2
