N	2gram	Kanaev_Sov_1	Istorich
1	и в	7	26
2	не только	4	15
3	что в	2	14
4	может быть	12	14
5	и пр	2	11
6	таким образом	11	10
7	все же	3	9
8	и не	6	9
9	так как	4	9
10	мы знаем	2	8
11	то же	3	8
12	а в	4	8
13	как и	6	7
14	знаем что	2	7
15	их в	4	7
16	в этом	7	7
17	в дальнейшем	4	6
18	мы видим	2	6
19	еще не	3	6
20	мы видели	4	6
21	вместе с	4	6
22	не может	17	6
23	а не	3	6
24	мы можем	6	6
25	могут быть	2	6
26	как он	3	6
27	у него	2	5
28	это не	4	5
29	в одном	3	5
30	но все	2	5
31	ничего не	6	5
32	в его	2	5
33	в некоторых	2	5
34	как мы	2	5
35	и что	2	5
36	из которых	2	5
37	уже не	2	5
38	и по	2	5
39	не в	3	5
40	мы должны	4	5
41	но в	3	5
42	вопрос о	4	4
43	а на	2	4
44	он в	3	4
45	и даже	2	4
46	дает нам	2	4
47	видели что	3	3
48	он должен	2	3
49	из этих	2	3
50	на котором	2	3
51	для нас	3	3
52	в том	4	3
53	при этом	3	3
54	на его	2	3
55	как бы	4	3
56	все эти	5	3
57	но мы	3	3
58	что она	3	3
59	или же	2	3
60	уже в	3	2
61	не могут	2	2
62	не менее	2	2
63	и есть	2	2
64	он может	3	2
65	и во	2	2
66	с этим	2	2
67	и все	3	2
68	с помощью	4	2
69	же это	4	2
70	тем не	2	2
71	одна из	3	2
72	на этом	2	2
73	не дает	2	2
74	было бы	3	2
75	которой он	2	2
76	такого рода	2	2
77	у нас	3	2
78	в нем	3	2
79	в целом	4	2
80	из них	4	2
81	все это	3	2
82	что это	2	2
83	только одна	6	2
84	и они	2	2
85	на этот	2	2
86	в виде	2	2
87	в себе	3	2
88	же самое	2	2
89	в этой	3	2
90	в области	3	2
