N	2gram	Nazirov_Tv_2	Formalny
1	и не	9	30
2	вовсе не	2	28
3	и в	20	27
4	может быть	8	25
5	не может	7	24
6	так и	6	21
7	и его	9	19
8	таким образом	10	18
9	в этом	8	18
10	а не	6	17
11	самом деле	2	16
12	в нем	3	15
13	в процессе	2	15
14	то же	7	15
15	как и	6	14
16	не в	4	12
17	если бы	4	12
18	и от	4	11
19	в самом	3	11
20	и т	13	11
21	место в	3	10
22	но и	8	10
23	так как	3	9
24	не только	13	9
25	так же	5	9
26	что в	7	8
27	при этом	8	8
28	как бы	11	8
29	отнюдь не	4	8
30	то что	3	8
31	только в	2	8
32	не менее	2	7
33	в том	8	7
34	же время	7	7
35	все это	6	7
36	потому что	7	7
37	в искусстве	2	7
38	в то	10	7
39	его в	3	7
40	между тем	3	7
41	в его	10	7
42	все время	2	6
43	с другой	2	6
44	всяком случае	2	6
45	т д	11	6
46	все эти	4	6
47	в своих	3	6
48	но в	4	6
49	в литературе	2	6
50	что он	6	6
51	более того	2	6
52	еще не	5	6
53	все же	5	6
54	в своей	6	6
55	во всяком	2	6
56	и ее	2	6
57	вместе с	3	6
58	никогда не	11	5
59	в дальнейшем	4	5
60	что они	4	5
61	не является	3	5
62	друг друга	2	5
63	другой стороны	2	5
64	в одной	3	5
65	в истории	2	5
66	но не	5	5
67	и потому	4	5
68	т п	2	5
69	сводится к	2	5
70	тем что	3	5
71	так сказать	2	5
72	уже в	2	4
73	в роман	2	4
74	прежде всего	8	4
75	в целом	6	4
76	но ведь	2	4
77	о том	5	4
78	в ее	2	4
79	в романе	15	4
80	том что	4	4
81	как в	4	4
82	роль в	2	4
83	мы не	4	4
84	могут быть	2	4
85	из этого	2	4
86	же как	3	3
87	его и	2	3
88	это не	7	3
89	в конце	6	3
90	между людьми	2	3
91	одним из	3	3
92	по отношению	3	3
93	и что	2	3
94	в которых	3	3
95	и на	5	3
96	их в	2	3
97	и с	8	3
98	в основе	2	3
99	жизни в	3	3
100	у нас	2	3
101	нет и	2	3
102	отношению к	3	3
103	уже не	3	3
104	героя в	4	3
105	в себе	3	3
106	человека и	3	2
107	и лишь	2	2
108	но это	5	2
109	такой же	2	2
110	в этой	5	2
111	как о	2	2
112	роман и	2	2
113	xviii века	2	2
114	где нет	2	2
115	но если	2	2
116	в котором	3	2
117	и др	3	2
118	из них	2	2
119	что она	4	2
120	и только	2	2
121	но эта	2	2
122	и даже	5	2
123	романа и	3	2
124	действующих лиц	2	2
125	в россии	2	2
126	к которому	2	2
127	превращается в	3	2
128	в такой	2	2
129	к этому	3	2
130	говорить о	2	2
131	одна из	3	2
132	и тогда	2	2
133	одной из	3	2
134	в основном	6	2
135	но уже	3	2
136	к самому	2	2
137	так в	2	2
138	в отличие	2	2
139	бы не	2	2
140	человека в	3	2
141	в таком	3	2
142	что этот	2	2
143	познания и	2	2
144	и это	3	2
145	героя и	2	2
146	отличие от	2	2
147	ничего не	4	2
