N	3gram	Vygotskiy__5	Psycholo
1	в том что	11	9
2	не может быть	3	8
3	в самом деле	2	7
4	о том что	4	7
5	заключается в том	5	6
6	в то время	4	5
7	с одной стороны	3	5
8	само по себе	2	5
9	с другой стороны	2	5
10	в зависимости от	2	5
11	этой точки зрения	4	5
12	подобно тому как	4	5
13	то время как	4	5
14	для того чтобы	14	5
15	так же как	7	4
16	с этой точки	4	4
17	не в состоянии	4	3
18	в сущности говоря	4	3
19	к тому чтобы	4	3
20	в отличие от	2	3
21	до сих пор	3	3
22	не только не	3	3
23	в одинаковой мере	2	2
24	мы видим что	2	2
25	с точки зрения	9	2
26	то же самое	4	2
27	от того что	2	2
28	сама по себе	4	2
29	в этом отношении	5	2
30	состоит в том	3	2
31	тем или иным	2	2
32	вместе с тем	2	2
33	потому что он	5	2
