N	2gram	Medvedev_F_2	Mirosoze
1	и в	38	46
2	в нем	13	22
3	может быть	23	21
4	в этом	27	20
5	никогда не	2	18
6	для него	7	18
7	и не	20	18
8	не только	9	18
9	есть лишь	2	17
10	но и	13	15
11	не может	14	15
12	как и	9	13
13	не есть	3	13
14	а не	6	13
15	прежде всего	15	12
16	потому что	2	12
17	не было	6	11
18	в ней	6	11
19	та же	2	10
20	но в	4	10
21	он не	6	10
22	он был	2	9
23	не в	15	9
24	но это	2	8
25	как бы	4	8
26	так как	4	8
27	отношение к	2	8
28	она не	2	8
29	в этой	6	7
30	что он	5	7
31	и к	4	7
32	как в	4	7
33	хотя бы	6	7
34	и для	5	7
35	что это	3	6
36	того что	3	6
37	и здесь	3	6
38	жизни и	3	6
39	то же	6	5
40	совсем не	2	5
41	в самом	16	5
42	один из	2	5
43	это не	2	5
44	в конце	2	5
45	и все	3	5
46	к тому	4	5
47	по преимуществу	5	5
48	то что	6	5
49	в своей	7	5
50	для того	3	5
51	и его	21	5
52	в его	10	5
53	и это	2	5
54	что в	7	4
55	тому что	2	4
56	для этого	2	4
57	до конца	2	4
58	только и	3	4
59	они не	4	4
60	не имеет	2	4
61	с его	11	4
62	том что	2	4
63	что и	8	4
64	так и	8	4
65	т е	26	4
66	уже не	7	4
67	того чтобы	3	4
68	вопроса о	2	4
69	же как	3	3
70	и от	2	3
71	в такой	2	3
72	ни в	2	3
73	в том	11	3
74	лишь как	4	3
75	высшей степени	4	3
76	что они	4	3
77	было в	2	3
78	менее всего	3	3
79	не так	2	3
80	и на	3	3
81	сказать что	2	3
82	и с	9	3
83	его в	3	3
84	в высшей	4	3
85	с ним	2	3
86	и должно	5	3
87	они были	2	3
88	если бы	5	3
89	к другому	2	3
90	это и	5	3
91	на почве	9	3
92	не будет	2	3
93	тем что	8	3
94	он в	2	3
95	только в	6	3
96	в чем	2	3
97	место в	3	2
98	а лишь	3	2
99	уже в	2	2
100	сам он	2	2
101	в этих	2	2
102	ее и	2	2
103	все время	6	2
104	хотя и	3	2
105	же и	2	2
106	к нему	3	2
107	не к	2	2
108	как к	3	2
109	и других	2	2
110	лишь в	7	2
111	должно быть	2	2
112	его не	2	2
113	а в	6	2
114	в основе	5	2
115	не о	4	2
116	точки зрения	8	2
117	бы в	5	2
118	между тем	2	2
119	на этом	2	2
120	превращается в	2	2
121	его с	3	2
122	по себе	7	2
123	его нельзя	3	2
124	то в	2	2
125	связи с	13	2
126	в сущности	4	2
127	во всех	5	2
128	как ее	3	2
129	оно не	4	2
130	вместе с	6	2
131	быть и	3	2
132	ее в	2	2
133	что же	5	2
134	еще более	5	2
135	что не	4	2
136	от этого	3	2
137	сам по	3	2
138	правда в	2	2
139	от его	2	2
140	и этим	2	2
141	в которой	2	2
142	ничего не	4	2
