N	2gram	Tiupa_Hudo_1	Myslijsy
1	потому что	3	52
2	то есть	18	42
3	и в	19	39
4	может быть	14	27
5	в том	18	26
6	только в	5	25
7	что в	6	22
8	не может	7	22
9	а не	9	21
10	не только	16	21
11	в нем	5	20
12	но и	10	20
13	и не	15	18
14	том что	8	16
15	не в	7	15
16	в этом	11	15
17	если бы	3	14
18	отношению к	9	13
19	так и	11	13
20	по отношению	9	13
21	в себе	9	13
22	таким образом	3	13
23	в душе	8	11
24	по себе	2	10
25	то что	4	10
26	как в	2	10
27	и что	3	10
28	речи и	3	10
29	могут быть	4	9
30	как и	2	9
31	но в	7	9
32	в одном	2	8
33	но не	11	8
34	со стороны	2	8
35	того что	4	8
36	в слове	3	8
37	точки зрения	10	8
38	с другой	7	7
39	это не	2	7
40	в этих	3	7
41	не менее	3	6
42	тем не	3	6
43	и как	3	6
44	еще не	3	6
45	как бы	9	6
46	что и	2	6
47	то же	10	6
48	при этом	13	6
49	и по	2	6
50	языка в	4	6
51	в каком	2	6
52	вовсе не	2	5
53	то в	2	5
54	и потому	2	5
55	в его	9	5
56	другой стороны	5	5
57	во всех	3	5
58	так же	2	5
59	а в	12	5
60	и для	2	5
61	во втором	4	5
62	и его	12	5
63	не следует	4	5
64	между тем	4	5
65	никогда не	2	4
66	однако в	4	4
67	тем самым	4	4
68	этом смысле	3	4
69	прежде всего	4	4
70	в свою	3	4
71	а только	4	4
72	субъекта и	3	4
73	свою очередь	2	4
74	же время	5	4
75	для него	4	4
76	к тому	4	4
77	и притом	3	4
78	из этих	3	4
79	в то	6	4
80	слова и	2	4
81	на деле	3	4
82	в самой	2	3
83	сама по	2	3
84	во внутренней	2	3
85	тому что	2	3
86	в них	2	3
87	не могло	2	3
88	и это	2	3
89	в жизни	2	3
90	в этой	2	3
91	в своем	2	3
92	в противном	2	3
93	того же	2	3
94	если мы	2	3
95	одной стороны	2	3
96	в своей	5	3
97	из которого	4	3
98	для того	2	3
99	никто не	2	3
100	для себя	2	3
101	и тем	2	3
102	в мире	21	3
103	в самом	5	3
104	с одной	2	3
105	заключается в	2	3
106	или даже	3	3
107	с ним	2	3
108	и то	4	3
109	сказать что	4	3
110	хотя и	3	3
111	одно из	2	3
112	он не	4	3
113	что можно	3	3
114	противном случае	2	3
115	быть названо	2	3
116	с точки	3	3
117	к которому	4	3
118	но как	2	3
119	слова в	2	2
120	могла бы	2	2
121	есть как	2	2
122	и более	2	2
123	но он	3	2
124	он должен	3	2
125	одного и	2	2
126	была бы	3	2
127	сознания в	3	2
128	том и	2	2
129	уже не	4	2
130	не будет	2	2
131	того чтобы	2	2
132	мог бы	3	2
133	за пределы	2	2
134	имеет место	2	2
135	и о	3	2
136	в виду	5	2
137	не все	2	2
138	с ее	5	2
139	в целом	3	2
140	деятельности в	2	2
141	из этого	2	2
142	образом и	2	2
143	в их	5	2
144	тогда как	13	2
145	времени и	2	2
146	и того	2	2
147	вытекает из	2	2
148	в одно	2	2
149	или в	2	2
150	с языком	3	2
151	о том	2	2
152	есть в	2	2
153	в которой	2	2
