N	2gram	Bakhtin_Pr_1	Literetu
1	и не	42	22
2	и в	38	16
3	в мире	3	16
4	при этом	5	15
5	не только	9	14
6	но и	9	14
7	в этом	15	14
8	а не	5	12
9	то что	8	12
10	может быть	26	12
11	в том	8	12
12	в частности	2	11
13	не в	7	10
14	то же	5	9
15	так и	5	9
16	того что	2	9
17	в то	4	9
18	том что	3	8
19	не может	27	8
20	к себе	2	8
21	как бы	22	8
22	в своей	7	7
23	же время	3	7
24	себя в	2	7
25	тем самым	4	7
26	точки зрения	8	7
27	только в	13	7
28	с его	2	6
29	с другой	7	6
30	эстетического объекта	37	6
31	еще не	7	6
32	в его	43	6
33	и его	16	6
34	в себе	4	6
35	в другом	2	6
36	о том	4	6
37	это не	5	5
38	что он	2	5
39	в ее	4	5
40	как и	7	5
41	лишь в	2	5
42	в целом	3	5
43	как в	4	5
44	в отличие	5	5
45	а в	6	5
46	этом отношении	2	5
47	в основе	5	5
48	то есть	46	5
49	в поэзии	9	5
50	отличие от	5	5
51	место в	8	4
52	но не	12	4
53	никогда не	5	4
54	по существу	2	4
55	одной стороны	3	4
56	в начале	2	4
57	и для	11	4
58	хотя и	3	4
59	об искусстве	3	4
60	отношению к	19	4
61	данном случае	4	4
62	по отношению	21	4
63	входит в	8	4
64	с одной	3	4
65	должно быть	5	4
66	в данном	4	4
67	произведения в	5	3
68	ни к	2	3
69	в единстве	12	3
70	отнюдь не	19	3
71	прежде всего	13	3
72	более того	4	3
73	в романе	4	3
74	и как	8	3
75	совершенно не	7	3
76	например в	3	3
77	и к	3	3
78	в самом	7	3
79	в слове	3	3
80	искусства и	3	3
81	и тем	3	3
82	самом деле	6	3
83	и наконец	6	3
84	с точки	6	3
85	эстетический объект	37	3
86	в иных	3	3
87	там где	6	3
88	едва ли	3	3
89	как это	2	3
90	отношения к	6	3
91	в области	11	3
92	но в	4	3
93	между тем	7	3
94	а лишь	2	2
95	художественного произведения	11	2
96	ни было	3	2
97	что в	7	2
98	не менее	4	2
99	если бы	3	2
100	все они	5	2
101	то ни	3	2
102	оно не	3	2
103	сказать и	3	2
104	я не	2	2
105	к этому	2	2
106	не всегда	6	2
107	вследствие этого	3	2
108	ни с	2	2
109	на то	2	2
110	или иной	2	2
111	в нем	15	2
112	и ее	2	2
113	у нас	2	2
114	и при	2	2
115	связи с	2	2
116	за их	2	2
117	художественного творчества	12	2
118	объекта в	5	2
119	художественное творчество	7	2
120	эстетической деятельности	2	2
121	в свою	2	2
122	можно сказать	2	2
123	было бы	8	2
124	со всеми	3	2
125	что не	4	2
126	несмотря на	3	2
127	во всех	11	2
128	поэт в	2	2
129	той или	2	2
130	себя и	3	2
131	не вполне	2	2
132	не с	4	2
133	что и	2	2
134	все же	6	2
135	бы то	3	2
136	художника и	5	2
137	отношение к	10	2
138	объект в	5	2
139	бытия в	3	2
140	как мы	7	2
141	и только	4	2
142	за бортом	5	2
143	за его	3	2
144	художественное произведение	8	2
145	но с	3	2
146	человека в	2	2
147	объекта и	7	2
148	того чтобы	2	2
149	для того	2	2
150	действительности в	2	2
151	другой стороны	4	2
152	и даже	3	2
153	объект и	4	2
154	с ними	4	2
155	в своих	2	2
156	и на	3	2
157	и с	17	2
158	быть только	5	2
159	тем что	2	2
160	далеко не	5	2
161	не знает	3	2
162	же самое	2	2
163	его в	9	2
164	и потому	4	2
165	здесь не	4	2
166	вне себя	4	2
