N	2gram	Berdyaev_O_1	Problema
1	и в	19	44
2	и не	13	35
3	не есть	2	35
4	может быть	11	28
5	потому что	9	25
6	по себе	2	25
7	то что	5	23
8	в том	5	21
9	а не	11	18
10	в этом	12	17
11	сказать что	2	16
12	даже и	2	16
13	не только	11	14
14	и то	2	14
15	не в	11	13
16	так что	2	12
17	но в	2	12
18	том что	2	12
19	но и	13	10
20	как и	6	10
21	так и	2	10
22	это не	3	9
23	и от	3	9
24	в нем	10	9
25	не имеет	2	9
26	и с	2	9
27	как бы	3	9
28	так как	2	9
29	что он	3	9
30	в его	7	9
31	что и	2	9
32	что в	4	8
33	только и	4	8
34	того что	3	8
35	было бы	3	8
36	он не	7	8
37	что же	2	8
38	в себе	3	8
39	не может	4	7
40	все эти	4	7
41	с ним	3	7
42	и потому	2	7
43	никогда не	9	6
44	нет ничего	7	6
45	и к	2	6
46	о том	3	6
47	все же	2	6
48	не было	9	5
49	что они	2	5
50	с тем	2	5
51	и есть	3	5
52	хотя и	2	5
53	все это	6	5
54	в своем	2	5
55	а в	5	5
56	еще не	3	5
57	и о	2	5
58	в своей	2	5
59	и его	4	5
60	он сам	4	4
61	можно ли	2	4
62	ни с	7	4
63	в ее	2	4
64	тем что	2	4
65	уже в	2	3
66	что у	2	3
67	прежде всего	9	3
68	в этой	5	3
69	для него	5	3
70	в самом	5	3
71	и очень	2	3
72	что для	2	3
73	его в	2	3
74	и ни	2	3
75	и все	10	3
76	хотя бы	3	3
77	и ее	3	3
78	это за	3	3
79	ничего не	2	3
80	с чем	2	2
81	в этих	3	2
82	не очень	2	2
83	всегда есть	4	2
84	никто не	3	2
85	что все	2	2
86	совсем не	2	2
87	и нет	2	2
88	природы и	2	2
89	его не	2	2
90	в самой	9	2
91	с которой	2	2
92	и там	2	2
93	ничего кроме	2	2
94	сразу же	2	2
95	о его	5	2
96	от него	7	2
97	когда он	3	2
98	и для	2	2
99	ничто не	2	2
100	он в	2	2
101	могут быть	3	2
102	в другом	2	2
103	в которой	2	2
104	это было	3	2
