N	2gram	Nazirov_Tr_1	Analitik
1	не только	8	22
2	и в	18	18
3	как и	5	14
4	так и	5	14
5	в этом	9	14
6	но и	4	13
7	и его	6	13
8	в частности	2	12
9	том что	4	12
10	и не	7	12
11	при этом	3	11
12	ивана петровича	6	10
13	как бы	7	10
14	то есть	3	10
15	может быть	7	9
16	что в	4	9
17	в том	2	9
18	с его	2	8
19	своего рода	3	8
20	и даже	4	8
21	не случайно	2	8
22	в его	3	7
23	к тому	2	6
24	не в	2	6
25	для него	3	6
26	еще не	4	6
27	в этой	4	6
28	он не	2	6
29	о том	2	6
30	никогда не	2	5
31	в конце	3	5
32	прежде всего	4	5
33	в самом	2	5
34	что и	2	5
35	в мире	3	5
36	уже не	2	5
37	перед нами	2	4
38	о чем	3	4
39	отнюдь не	3	4
40	в своем	3	4
41	столь же	2	4
42	в одном	2	4
43	что он	6	4
44	и как	3	4
45	и сам	3	4
46	все же	5	4
47	тем самым	3	4
48	и на	7	4
49	в данном	2	4
50	уже в	3	3
51	в ее	2	3
52	же время	6	3
53	по поводу	2	3
54	во сне	2	3
55	к жизни	5	3
56	с ее	3	3
57	как говорит	2	3
58	в целом	4	3
59	данном случае	2	3
60	как в	3	3
61	все это	4	3
62	который в	2	3
63	то же	5	3
64	в году	9	3
65	ничего не	2	3
66	он и	2	3
67	в то	5	3
68	жизнь и	3	3
69	его в	2	3
70	как это	3	3
71	бы и	2	2
72	все эти	3	2
73	это не	5	2
74	но они	2	2
75	в нем	4	2
76	и ее	2	2
77	о его	2	2
78	несмотря на	5	2
79	говорит о	2	2
80	в романе	10	2
81	в дальнейшем	5	2
82	одна из	2	2
83	лицо его	2	2
84	с тем	2	2
85	его за	2	2
86	в глаза	2	2
87	об этом	4	2
88	только к	2	2
89	один из	3	2
90	то что	4	2
91	в первом	2	2
92	что она	2	2
93	не может	5	2
94	в отличие	2	2
95	не мог	2	2
96	и он	3	2
97	поведение в	2	2
98	в глазах	2	2
99	тем что	2	2
100	личности и	2	2
101	на меня	2	2
102	в себе	4	2
103	и здесь	2	2
104	и все	4	2
105	отличие от	2	2
106	но в	6	2
