N	2gram	Savitsky_P_1	FransuaR
1	и в	14	29
2	и не	12	16
3	но в	9	12
4	в этом	10	11
5	то же	9	10
6	в то	7	10
7	не только	17	10
8	но и	6	9
9	и с	2	9
10	же время	7	8
11	прежде всего	3	8
12	в его	2	8
13	как бы	4	8
14	в них	2	7
15	в том	9	7
16	из них	2	6
17	это не	3	5
18	и о	5	5
19	в нем	3	5
20	и есть	2	4
21	то что	4	4
22	все это	2	4
23	с другой	5	4
24	точки зрения	3	4
25	том числе	2	3
26	в частности	2	3
27	в качестве	9	3
28	в своем	4	3
29	в ее	2	3
30	том что	4	3
31	и как	3	3
32	церкви и	2	3
33	тот же	3	3
34	того что	2	3
35	начала и	2	3
36	и других	2	3
37	и вот	2	3
38	для того	3	3
39	с ними	3	3
40	в ней	6	3
41	в себе	3	3
42	в эту	2	3
43	быть может	6	2
44	в жизни	2	2
45	и мучеников	2	2
46	и к	4	2
47	да и	2	2
48	тех кто	4	2
49	есть в	2	2
50	так называемые	2	2
51	именно в	2	2
52	но не	3	2
53	одной стороны	3	2
54	было в	2	2
55	не может	4	2
56	и мы	2	2
57	может быть	5	2
58	между прочим	2	2
59	хотя и	3	2
60	а также	4	2
61	в котором	4	2
62	если в	2	2
63	со стороны	2	2
64	как раз	2	2
65	с одной	3	2
66	с точки	3	2
67	не столько	2	2
68	как на	2	2
69	что из	2	2
70	только в	7	2
71	и это	2	2
