N	2gram	Vygotskiy__2	Problema
1	и не	7	28
2	не только	15	24
3	только в	4	23
4	вовсе не	6	21
5	в том	33	20
6	и в	15	20
7	ни в	2	17
8	все эти	3	16
9	смысле слова	5	15
10	то что	20	15
11	потому что	7	15
12	было бы	10	14
13	той или	2	14
14	но и	10	14
15	точки зрения	26	14
16	перед нами	2	13
17	или иной	2	13
18	не в	8	13
19	также и	2	13
20	в себе	2	12
21	том что	27	12
22	прежде всего	4	11
23	по себе	7	11
24	с точки	18	11
25	отнюдь не	2	10
26	в качестве	4	10
27	не является	9	10
28	так и	8	10
29	и его	4	10
30	при помощи	4	10
31	едва ли	7	10
32	может быть	9	9
33	есть нечто	2	9
34	все это	4	9
35	и даже	5	9
36	в этом	19	9
37	если бы	8	8
38	что он	12	8
39	таким образом	14	8
40	в результате	3	8
41	во всяком	7	8
42	и все	3	8
43	но в	6	8
44	с другой	6	7
45	это не	5	7
46	мы не	10	7
47	и тем	2	7
48	то же	5	7
49	именно в	2	7
50	а не	3	7
51	сказать что	6	7
52	и с	4	7
53	хотя бы	4	7
54	об этом	3	6
55	а также	2	6
56	для нас	4	6
57	как и	6	6
58	что здесь	2	6
59	при этом	3	6
60	но если	2	6
61	в виду	6	6
62	в данном	3	6
63	и вообще	2	6
64	же самое	2	6
65	мы имеем	3	6
66	не существует	3	5
67	но не	3	5
68	на самом	3	5
69	можно сказать	2	5
70	и можно	2	5
71	случае не	2	5
72	действительности и	3	5
73	вместе с	6	5
74	данном случае	3	5
75	как в	4	5
76	так же	4	5
77	не может	9	5
78	в них	4	5
79	так как	4	5
80	если мы	6	5
81	или в	3	5
82	в этих	2	5
83	о том	9	5
84	уже в	5	4
85	и есть	2	4
86	в отношении	6	4
87	и для	2	4
88	в одном	2	4
89	и ее	3	4
90	в самой	3	4
91	что его	4	4
92	в этой	6	4
93	тем самым	3	4
94	указывает на	2	4
95	одной из	3	4
96	несмотря на	4	4
97	в своей	4	4
98	что она	3	4
99	как бы	7	4
100	всяком случае	6	4
101	тем более	3	4
102	не имеет	4	4
103	во всех	2	4
104	без всякого	2	4
105	и только	3	4
106	с этим	3	4
107	а в	4	4
108	можно было	5	4
109	как раз	4	4
110	с ним	3	4
111	в связи	6	3
112	к тому	7	3
113	и более	2	3
114	казалось бы	8	3
115	уже и	2	3
116	независимо от	4	3
117	для всех	4	3
118	были бы	2	3
119	он как	2	3
120	этом смысле	2	3
121	с собой	3	3
122	и к	6	3
123	является для	4	3
124	как мы	6	3
125	для него	3	3
126	и как	2	3
127	но все	2	3
128	это есть	2	3
129	в начале	4	3
130	связи с	9	3
131	в истории	6	3
132	в его	2	3
133	только для	3	3
134	что и	2	3
135	в зависимости	6	3
136	что в	14	3
137	бы и	3	3
138	в своем	9	3
139	все равно	2	3
140	самом деле	6	3
141	и другое	2	3
142	для того	10	3
143	из которых	3	3
144	что мы	9	3
145	с другими	3	3
146	тем что	2	3
147	из них	3	3
148	и мышления	3	3
149	к его	2	3
150	в другом	2	3
151	мы должны	6	3
152	зависимости от	6	3
153	как это	6	3
154	мы можем	10	3
155	в известном	2	2
156	за собой	2	2
157	мы хотели	2	2
158	все время	3	2
159	в частности	6	2
160	по этому	6	2
161	для этого	3	2
162	столь же	2	2
163	то он	2	2
164	на все	2	2
165	само понятие	4	2
166	для себя	3	2
167	стороны и	2	2
168	что именно	3	2
169	с его	4	2
170	нет и	2	2
171	сама по	2	2
172	о которых	3	2
173	что каждая	2	2
174	что они	3	2
175	заключается в	8	2
176	тот же	7	2
177	говорит что	5	2
178	что это	6	2
179	в самом	11	2
180	общего с	2	2
181	за пределы	2	2
182	том чтобы	4	2
183	он не	7	2
184	к ней	2	2
185	в котором	2	2
186	все же	4	2
187	с ее	2	2
188	на этой	2	2
189	с ней	2	2
190	или менее	2	2
191	и тогда	2	2
192	в совершенно	4	2
193	или к	2	2
194	мы находим	6	2
195	но эта	3	2
196	и что	8	2
197	того чтобы	12	2
198	только что	3	2
199	и по	3	2
200	друг друга	5	2
201	действия и	3	2
202	в других	2	2
203	говорить о	2	2
204	во всем	2	2
205	во все	2	2
206	и это	3	2
207	это все	2	2
208	в которой	4	2
209	того же	3	2
210	более или	2	2
211	учения о	2	2
212	понятие о	2	2
213	не то	2	2
