N	2gram	Vygotskiy__1	VerxiiNi
1	и в	23	26
2	таким образом	26	22
3	с тем	7	18
4	вместе с	9	15
5	в этом	17	15
6	точки зрения	26	13
7	как бы	11	12
8	в том	24	11
9	может быть	14	10
10	не только	16	10
11	и с	9	10
12	из этих	3	10
13	связи с	3	9
14	что в	14	9
15	но и	14	9
16	в области	3	9
17	так как	7	9
18	с другой	10	8
19	главным образом	2	8
20	но не	4	8
21	в общем	3	8
22	и не	9	8
23	как на	4	8
24	том что	21	7
25	но все	2	7
26	одной стороны	9	7
27	то что	17	7
28	а с	4	7
29	с одной	8	7
30	потому что	6	7
31	но в	5	7
32	в конце	2	6
33	представление о	2	6
34	к тому	4	6
35	и потому	2	6
36	несмотря на	2	6
37	всяком случае	3	6
38	все же	3	6
39	так и	5	6
40	все это	6	6
41	в отношении	10	6
42	все эти	4	6
43	с точки	18	6
44	во всяком	3	6
45	в себе	6	6
46	мы должны	5	6
47	и т.д	5	6
48	о том	6	6
49	и к	4	5
50	до сих	4	5
51	друг с	4	5
52	в его	14	5
53	никогда не	2	5
54	с другом	4	5
55	сих пор	4	5
56	так же	16	5
57	лишь в	6	5
58	а не	3	5
59	того чтобы	17	5
60	для того	15	5
61	не имеет	2	5
62	в силу	6	5
63	учение о	3	4
64	в этих	2	4
65	и от	3	4
66	что все	4	4
67	что он	7	4
68	в смысле	2	4
69	из которых	3	4
70	в самом	7	4
71	в котором	4	4
72	целый ряд	4	4
73	не может	12	4
74	а в	2	4
75	то же	8	4
76	что оно	3	4
77	в течение	2	4
78	и что	5	4
79	на этот	3	4
80	с другими	2	4
81	в которых	3	4
82	в виде	2	4
83	он не	5	4
84	в то	7	4
85	только в	6	4
86	в этой	7	4
87	за собой	2	3
88	же как	6	3
89	что это	3	3
90	если бы	5	3
91	хотя бы	4	3
92	к этому	4	3
93	ясно что	2	3
94	можно сказать	5	3
95	для него	2	3
96	с самого	8	3
97	и как	5	3
98	из всех	2	3
99	и при	2	3
100	представляет собой	11	3
101	в своем	3	3
102	в качестве	9	3
103	и если	3	3
104	отношению к	7	3
105	когда он	2	3
106	с ней	2	3
107	к сожалению	2	3
108	при этом	4	3
109	уже не	2	3
110	в значительной	2	3
111	того что	15	3
112	и даже	2	3
113	в которой	3	3
114	и те	2	3
115	всегда и	3	3
116	с этой	6	3
117	в результате	4	3
118	и таким	2	3
119	что эти	2	3
120	на нее	2	3
121	в одном	4	3
122	уже в	3	2
123	начиная с	2	2
124	самого начала	8	2
125	с его	4	2
126	он в	3	2
127	именно в	6	2
128	одно из	2	2
129	связана с	2	2
130	в них	2	2
131	сравнению с	5	2
132	превращается в	3	2
133	только для	3	2
134	влечет за	2	2
135	тогда когда	3	2
136	на все	3	2
137	прежде всего	10	2
138	в свою	4	2
139	на то	5	2
140	от них	2	2
141	в пользу	4	2
142	к его	2	2
143	по существу	4	2
144	мы видели	2	2
145	что именно	3	2
146	же время	2	2
147	связано с	2	2
148	что мы	5	2
149	со всеми	2	2
150	вслед за	2	2
151	для всех	4	2
152	но вместе	4	2
153	эти черты	2	2
154	не могло	3	2
155	один из	2	2
156	не с	2	2
157	не к	2	2
158	жизни и	2	2
159	во всех	3	2
160	к другу	2	2
161	в процессе	8	2
162	приводит к	4	2
163	только что	4	2
164	для этого	5	2
165	если не	3	2
166	этом отношении	4	2
167	между этими	6	2
168	наконец в	2	2
169	его не	3	2
170	из этой	2	2
171	виде в	2	2
172	и на	8	2
173	связан с	5	2
174	можно назвать	2	2
175	сказать что	11	2
176	не в	4	2
177	еще на	3	2
178	мы можем	6	2
179	и наконец	2	2
180	тем и	3	2
181	по своей	5	2
182	о котором	2	2
183	по сравнению	6	2
184	же самое	3	2
185	и все	5	2
186	и это	3	2
187	из этого	5	2
188	психической жизни	3	2
189	этими двумя	2	2
190	между тем	9	2
191	в новом	3	2
