N	2gram	Nazirov_Vr_1	Narrotol
1	не только	9	32
2	может быть	4	25
3	но и	7	23
4	и не	5	20
5	и в	8	19
6	в том	3	18
7	в этом	8	17
8	том что	3	14
9	тогда как	2	12
10	то что	7	11
11	а в	2	11
12	не может	2	10
13	точки зрения	2	10
14	при этом	4	9
15	в его	3	9
16	в мире	2	9
17	и т.п	2	8
18	в себе	2	8
19	как и	6	7
20	еще не	2	7
21	а также	2	7
22	все же	6	7
23	с его	3	6
24	что он	4	6
25	в той	2	6
26	о том	4	6
27	но в	6	6
28	и как	3	5
29	отнюдь не	2	5
30	уже не	2	5
31	и его	3	5
32	к себе	2	5
33	в этой	2	5
34	далеко не	3	5
35	за границей	2	4
36	матери и	3	4
37	в нем	6	4
38	у него	5	4
39	то же	5	4
40	же в	2	4
41	же время	5	4
42	связи с	3	4
43	как бы	4	4
44	о нем	6	4
45	речь идет	3	4
46	не мог	2	4
47	и с	6	4
48	же не	2	4
49	не менее	2	3
50	а с	2	3
51	же как	2	3
52	что в	7	3
53	никогда не	2	3
54	уже в	4	3
55	в свою	2	3
56	одна из	2	3
57	в ней	4	3
58	он не	3	3
59	и даже	6	3
60	из них	2	3
61	столь же	2	3
62	и он	2	3
63	между тем	5	3
64	тем что	3	3
65	в то	5	3
66	в известном	2	2
67	после смерти	2	2
68	он сам	2	2
69	в своем	3	2
70	что у	3	2
71	на первый	2	2
72	для него	2	2
73	несмотря на	4	2
74	наряду с	3	2
75	отношение к	2	2
76	так же	4	2
77	как раз	2	2
78	в связи	3	2
79	отношения к	2	2
80	не было	5	2
81	человека в	3	2
82	одним из	3	2
83	с точки	2	2
84	это не	4	2
85	тем более	2	2
86	и ее	2	2
87	но как	2	2
88	и все	7	2
89	его в	3	2
90	о чем	2	2
