N	2gram	Potebnia_M_4	Komedia
1	и в	23	22
2	и не	18	21
3	том что	12	13
4	в том	23	12
5	таким образом	24	12
6	со стороны	3	11
7	так как	14	11
8	потому что	33	10
9	до сих	4	9
10	в самом	3	9
11	вместе с	6	9
12	сих пор	4	9
13	если бы	13	8
14	в своем	8	8
15	что он	4	8
16	к ней	2	8
17	в его	5	8
18	что и	7	8
19	в глазах	2	8
20	в этом	23	8
21	о том	8	8
22	его в	4	8
23	об этом	2	7
24	при этом	15	7
25	в свою	2	7
26	то же	14	7
27	только что	3	7
28	а в	5	7
29	во время	2	6
30	еще не	3	6
31	для того	6	6
32	к тому	3	6
33	может быть	26	6
34	самом деле	3	6
35	и что	7	6
36	того чтобы	4	6
37	так что	5	6
38	и его	2	6
39	в то	4	6
40	не менее	5	5
41	связи с	3	5
42	что в	17	5
43	же время	3	5
44	то это	8	5
45	что его	2	5
46	хотя и	5	5
47	не только	10	5
48	отношение к	2	5
49	все это	5	5
50	по отношению	10	5
51	он не	2	5
52	тем что	10	5
53	более чем	3	5
54	к нему	5	5
55	в которых	3	5
56	с ним	5	5
57	но в	8	5
58	самого начала	2	4
59	с тем	7	4
60	с другой	2	4
61	вовсе не	7	4
62	и здесь	2	4
63	не в	11	4
64	в ней	2	4
65	тем более	5	4
66	и т	7	4
67	то что	29	4
68	но и	11	4
69	что она	2	4
70	т п	4	4
71	а не	12	4
72	и для	2	4
73	друг друга	2	4
74	так же	4	4
75	точки зрения	4	4
76	в себе	14	4
77	бы в	2	4
78	так и	6	4
79	хотя бы	4	4
80	и с	4	4
81	никогда не	3	3
82	до тех	6	3
83	в них	3	3
84	с этим	7	3
85	себе в	3	3
86	в нем	7	3
87	на то	7	3
88	и к	6	3
89	тем не	4	3
90	в ее	2	3
91	как и	14	3
92	чем в	2	3
93	по своему	2	3
94	все что	2	3
95	было бы	8	3
96	и тот	3	3
97	и мы	5	3
98	конечно не	2	3
99	к ним	2	3
100	на этот	2	3
101	как бы	5	3
102	из себя	2	3
103	один из	2	3
104	и мысли	2	3
105	отношению к	8	3
106	тех пор	6	3
107	судя по	2	3
108	даже не	2	3
109	не может	11	3
110	в течение	2	3
111	все равно	3	3
112	в двух	2	3
113	что не	6	3
114	это обстоятельство	2	3
115	с точки	3	3
116	столь же	2	3
117	и даже	2	3
118	не имеет	5	3
119	не так	2	3
120	в других	2	3
121	их в	3	3
122	мы можем	10	3
123	во всяком	5	3
124	говорить о	5	3
125	же самое	4	3
126	в которой	6	3
127	всяком случае	3	3
128	на вопрос	4	2
129	только для	2	2
130	уже в	5	2
131	до того	3	2
132	состоит в	2	2
133	пор не	3	2
134	и без	2	2
135	не как	2	2
136	как в	7	2
137	не будет	3	2
138	это не	7	2
139	равно как	2	2
140	и все	4	2
141	сама она	2	2
142	в одном	4	2
143	человека и	3	2
144	в образе	2	2
145	и я	2	2
146	не могут	2	2
147	для понимания	2	2
148	а как	2	2
149	если мы	2	2
150	этом случае	5	2
151	такое же	2	2
152	в силу	7	2
153	за ним	2	2
154	она не	2	2
155	и хотя	3	2
156	тот же	2	2
157	только как	4	2
158	и если	3	2
159	на его	3	2
160	в сущности	2	2
161	и о	4	2
162	от того	4	2
163	известной степени	3	2
164	между ними	4	2
165	что происходит	2	2
166	в котором	4	2
167	так или	2	2
168	если же	4	2
169	не с	2	2
170	дело не	2	2
171	на основании	4	2
172	как мы	2	2
173	бы не	3	2
174	до этого	3	2
175	по тому	2	2
176	не было	12	2
177	человека в	2	2
178	мы не	8	2
179	в мире	2	2
180	из которых	2	2
181	с другими	4	2
182	в таком	4	2
183	можно было	2	2
184	или иначе	2	2
185	в своих	2	2
186	и на	3	2
187	я говорю	3	2
188	тому что	2	2
189	между тем	9	2
190	видно что	4	2
191	что мы	10	2
192	и это	2	2
193	нет ничего	3	2
194	из этого	2	2
195	в области	2	2
196	в виду	3	2
