N	2gram	Medvedev_F_2	Sotsiolo
1	истории литературы	6	10
2	все это	3	7
3	в том	11	5
4	в этом	27	5
5	метод в	4	4
6	не в	15	3
7	и только	5	3
8	но ведь	3	3
9	о литературе	3	3
10	в его	10	3
11	и в	38	3
12	не только	9	3
13	или даже	2	2
14	было бы	6	2
15	только в	6	2
16	в конце	2	2
17	нужно было	2	2
18	по существу	7	2
19	это и	5	2
20	таким образом	20	2
21	том что	2	2
22	то же	6	2
23	то что	6	2
24	главным образом	3	2
25	может быть	23	2
26	литературы и	4	2
27	в результате	6	2
28	но и	13	2
29	очевидно что	2	2
30	как бы	4	2
31	должна быть	5	2
32	конце концов	2	2
33	что в	7	2
