N	2gram	Bakhtin_KF_1	Psycholo
1	то что	7	32
2	и в	24	31
3	в том	6	30
4	что в	4	23
5	может быть	45	22
6	ясно что	3	19
7	при этом	4	19
8	не может	27	17
9	как и	5	16
10	том что	4	16
11	и не	26	16
12	точки зрения	12	15
13	только в	16	14
14	а не	17	13
15	не только	5	13
16	что и	7	13
17	мы не	3	12
18	в этом	14	12
19	могут быть	3	11
20	не в	12	11
21	в области	2	11
22	того что	3	10
23	потому что	2	10
24	по себе	2	9
25	ни в	12	9
26	как в	2	9
27	самом деле	3	9
28	никогда не	5	8
29	все это	10	8
30	что он	2	7
31	и его	17	7
32	того чтобы	2	7
33	о том	3	7
34	что это	3	6
35	вовсе не	7	6
36	до конца	3	6
37	было бы	8	6
38	если бы	8	6
39	отнюдь не	6	6
40	а в	4	6
41	для того	3	6
42	в его	40	6
43	и есть	9	5
44	и все	7	5
45	тогда когда	3	5
46	в ее	16	5
47	все же	5	5
48	для нас	4	5
49	совершенно не	6	5
50	как бы	9	5
51	был бы	3	5
52	в целом	10	5
53	в процессе	2	5
54	и для	9	5
55	то же	5	5
56	это есть	2	5
57	и совершенно	3	5
58	в то	3	5
59	в котором	24	4
60	в виду	3	4
61	прежде всего	2	4
62	тому что	2	4
63	в себе	21	4
64	что я	5	4
65	со всеми	2	4
66	от себя	10	4
67	один из	2	4
68	со стороны	7	4
69	к этому	2	4
70	в своих	3	4
71	этого слова	2	4
72	там где	5	4
73	между тем	4	4
74	могло бы	4	4
75	мы имеем	5	4
76	дело с	2	3
77	совсем не	2	3
78	с тем	2	3
79	его и	2	3
80	в своем	16	3
81	та же	2	3
82	в каждом	3	3
83	должна быть	4	3
84	вопрос о	2	3
85	себе а	2	3
86	это и	2	3
87	но это	6	3
88	не будет	2	3
89	но не	12	3
90	из его	3	3
91	из которых	2	3
92	в этой	2	3
93	он не	6	3
94	и когда	2	3
95	не есть	20	3
96	жизни и	8	3
97	в своей	10	3
98	так и	2	3
99	мышления и	2	3
100	не было	8	3
101	и других	2	3
102	от того	3	3
103	и только	6	3
104	слова в	2	3
105	во всем	7	3
106	и это	12	3
107	что эта	2	3
108	но в	5	3
109	в основе	5	2
110	не менее	3	2
111	или иное	2	2
112	независимо от	3	2
113	этом смысле	3	2
114	и как	2	2
115	в жизни	2	2
116	ее и	6	2
117	с ним	5	2
118	и здесь	7	2
119	быть в	4	2
120	тем не	2	2
121	целом не	2	2
122	уже не	7	2
123	и потому	2	2
124	это можно	2	2
125	себя и	2	2
126	в качестве	2	2
127	не дает	3	2
128	ли это	2	2
129	или иным	2	2
130	и может	3	2
131	и их	6	2
132	в него	2	2
133	и тем	3	2
134	в нем	28	2
135	отношение к	5	2
136	но и	9	2
137	что есть	2	2
138	нигде не	3	2
139	на самом	3	2
140	в себя	7	2
141	может дать	3	2
142	на основе	7	2
143	тем самым	4	2
144	к чему	3	2
145	к нему	12	2
146	поскольку она	2	2
147	с точки	9	2
148	то или	2	2
149	от него	3	2
150	отказаться от	2	2
151	в чем	4	2
152	ничего не	3	2
153	к ним	4	2
154	как к	2	2
155	что только	2	2
156	в каком	4	2
157	не быть	3	2
158	бы и	3	2
159	но как	5	2
160	в сознании	2	2
161	и то	2	2
162	это только	2	2
163	его в	5	2
164	стал бы	2	2
165	в одном	4	2
166	или как	2	2
