N	2gram	Berdyaev_O_1	Dialekti
1	не есть	2	47
2	т е	4	30
3	и не	13	30
4	может быть	11	20
5	и в	19	19
6	не только	11	19
7	по себе	2	18
8	а не	11	16
9	в себе	3	15
10	то что	5	14
11	в том	5	14
12	как бы	3	14
13	так как	2	14
14	потому что	9	14
15	но и	13	12
16	и все	10	12
17	как и	6	10
18	в нем	10	10
19	так и	2	10
20	том что	2	10
21	это не	3	10
22	сказать что	2	10
23	никогда не	9	9
24	не может	4	9
25	прежде всего	9	8
26	не в	11	8
27	в этом	12	8
28	в своей	2	8
29	в душе	2	7
30	и к	2	7
31	что в	4	7
32	должно быть	2	7
33	и то	2	7
34	так что	2	7
35	что он	3	6
36	что не	4	6
37	что они	2	6
38	того что	3	6
39	личности и	2	6
40	в самом	5	5
41	и потому	2	5
42	что и	2	5
43	и его	4	5
44	о том	3	5
45	и с	2	5
46	уже в	2	4
47	и есть	3	4
48	в своем	2	4
49	не могут	3	4
50	же это	2	4
51	в ее	2	4
52	все же	2	4
53	еще не	3	4
54	к нему	3	4
55	он не	7	4
56	хотя бы	3	4
57	ни с	7	4
58	все это	6	4
59	и вот	3	4
60	а в	5	4
61	одно из	2	4
62	могут быть	3	4
63	но он	7	4
64	в другом	2	4
65	с ним	3	4
66	можно ли	2	3
67	в этих	3	3
68	и от	3	3
69	сразу же	2	3
70	вопрос о	10	3
71	ведь это	2	3
72	в этой	5	3
73	было бы	3	3
74	и из	2	3
75	не было	9	3
76	в глубину	2	3
77	его в	2	3
78	это за	3	3
79	ничего не	2	3
80	много раз	2	3
81	это было	3	3
82	что же	2	2
83	не очень	2	2
84	что у	2	2
85	всегда есть	4	2
86	человека и	10	2
87	момент в	2	2
88	из всего	2	2
89	в истории	2	2
90	с тем	2	2
91	он всегда	7	2
92	и нет	2	2
93	все в	4	2
94	только одно	3	2
95	ее в	2	2
96	что есть	2	2
97	только и	4	2
98	его не	2	2
99	в своих	3	2
100	тем что	2	2
101	все эти	4	2
102	в которой	2	2
103	но в	2	2
