N	2gram	Vinokur_Vv_1	Russkaja
1	не может	13	22
2	и не	13	19
3	в том	31	17
4	в этом	34	17
5	и в	27	14
6	то что	17	13
7	национальной культуры	4	13
8	таким образом	19	11
9	то же	8	11
10	точки зрения	7	11
11	же время	5	10
12	но и	5	10
13	в то	5	10
14	том что	26	9
15	не только	21	9
16	в себе	4	9
17	с точки	2	9
18	может быть	24	9
19	во всяком	3	9
20	прежде всего	8	8
21	того чтобы	21	8
22	как на	11	8
23	ни к	2	7
24	к тому	4	7
25	самом деле	6	7
26	в данном	11	7
27	о том	15	7
28	и с	2	7
29	если бы	2	6
30	что он	4	6
31	и при	2	6
32	с тем	6	6
33	для того	21	6
34	всяком случае	3	6
35	все это	6	6
36	в своем	3	6
37	и для	4	6
38	в своих	2	6
39	хотя бы	5	5
40	вопрос о	8	5
41	и на	3	5
42	при этом	3	5
43	до сих	5	5
44	было бы	5	5
45	в своей	4	5
46	никогда не	3	5
47	в нем	13	5
48	сих пор	5	5
49	во всех	2	5
50	по существу	2	5
51	а потому	3	5
52	из которых	2	5
53	а в	5	5
54	потому что	14	5
55	только в	13	5
56	данного народа	2	5
57	между тем	8	5
58	но не	7	4
59	не могут	5	4
60	что в	11	4
61	тогда когда	3	4
62	как и	5	4
63	как бы	5	4
64	себе и	2	4
65	все же	8	4
66	себя в	2	4
67	жизни и	2	4
68	вместе с	6	4
69	со стороны	12	4
70	от того	3	4
71	что же	3	4
72	в их	11	4
73	при том	5	4
74	не в	8	4
75	смотреть на	4	4
76	можно было	7	4
77	и то	5	4
78	в этой	3	4
79	во всем	2	4
80	в его	10	4
81	и т.д	4	4
82	его в	6	4
83	идет речь	2	4
84	так как	13	4
85	он сам	3	3
86	вопросу о	2	3
87	что это	3	3
88	на том	3	3
89	именно в	8	3
90	из этих	5	3
91	в конце	3	3
92	что может	3	3
93	о которых	2	3
94	этом случае	6	3
95	да и	4	3
96	и как	9	3
97	в другом	3	3
98	так чтобы	3	3
99	должно быть	2	3
100	в качестве	7	3
101	еще не	4	3
102	несмотря на	2	3
103	в самом	12	3
104	ни одна	2	3
105	том чтобы	6	3
106	одной из	3	3
107	но если	3	3
108	для этого	3	3
109	то это	3	3
110	что и	3	3
111	не есть	4	3
112	и т	43	3
113	из них	3	3
114	данном случае	5	3
115	вряд ли	2	3
116	что оно	2	3
117	и сейчас	2	3
118	в значительной	2	3
119	того что	12	3
120	культуры в	5	3
121	тем что	6	3
122	в виде	4	3
123	говорить о	3	3
124	связи с	3	3
125	о котором	8	3
126	конце концов	2	3
127	одна из	2	3
128	любовь к	4	2
129	этого не	2	2
130	зависит от	3	2
131	будет в	2	2
132	сама по	3	2
133	нисколько не	3	2
134	должна быть	2	2
135	и есть	3	2
136	в частности	3	2
137	по этому	2	2
138	взгляде на	2	2
139	с этим	2	2
140	точно так	2	2
141	этот вопрос	4	2
142	это в	2	2
143	состоит в	2	2
144	представить себе	5	2
145	ясно что	9	2
146	по себе	9	2
147	уже не	5	2
148	так что	5	2
149	деятельности и	2	2
150	чтобы понять	2	2
151	это есть	2	2
152	именно на	2	2
153	есть и	4	2
154	что с	3	2
155	в ней	3	2
156	в котором	4	2
157	речь идет	2	2
158	отношении к	2	2
159	на почве	5	2
160	если же	2	2
161	и тем	5	2
162	на этой	3	2
163	не к	2	2
164	время в	2	2
165	а во-вторых	2	2
166	быть и	2	2
167	на основании	5	2
168	и тогда	3	2
169	тому что	2	2
170	по отношению	4	2
171	это только	4	2
172	котором идет	2	2
173	тогда как	2	2
174	в течение	5	2
175	все эти	3	2
176	не просто	4	2
177	и вот	3	2
178	только на	3	2
179	и что	4	2
180	а не	3	2
181	что такое	10	2
182	и даже	5	2
183	к нему	2	2
184	так же	3	2
185	и те	2	2
186	том же	2	2
187	в результате	3	2
188	в силу	3	2
189	мы можем	2	2
190	даже и	3	2
191	в начале	3	2
192	народов и	2	2
193	как будто	3	2
194	в этих	3	2
195	только с	3	2
196	в области	4	2
197	к культуре	2	2
198	но в	10	2
199	культурной жизни	2	2
