N	3gram	Voloshinov_1	Vvedenie
1	для того чтобы	3	20
2	в том что	3	12
3	тем не менее	2	8
4	не может быть	13	8
5	в этом смысле	2	8
6	то же время	3	6
7	в самом деле	9	6
8	в то же	3	6
9	до сих пор	8	6
10	с другой стороны	5	5
11	на этот вопрос	3	4
12	можно было бы	2	4
13	в этом случае	3	4
14	в этом отношении	3	4
15	во всяком случае	2	4
16	по отношению к	2	4
17	можно сказать что	3	3
18	но в то	2	3
19	сама по себе	2	3
20	вопрос о том	2	3
21	но все же	3	3
22	смысле этого слова	2	2
23	и той же	2	2
24	в конце концов	3	2
25	с точки зрения	20	2
26	не могут быть	2	2
27	то же самое	3	2
28	языка и его	3	2
29	в связи с	7	2
30	может быть и	3	2
31	в чем же	2	2
32	одной и той	2	2
