N	2gram	Nazirov_Vr_1	Vladivir
1	и в	8	40
2	то что	7	28
3	и не	5	25
4	не только	9	25
5	у него	5	24
6	но и	7	18
7	в том	3	18
8	том что	3	18
9	что в	7	17
10	в этом	8	16
11	в его	3	14
12	не может	2	14
13	точки зрения	2	13
14	в конце	3	12
15	никогда не	2	11
16	таким образом	2	11
17	о том	4	11
18	как раз	2	10
19	в году	18	10
20	и его	3	10
21	не менее	2	9
22	уже не	2	9
23	и с	6	9
24	и то	2	9
25	в своей	2	9
26	в себе	2	9
27	в своем	3	8
28	в этой	2	8
29	для него	2	8
30	может быть	4	8
31	так же	4	8
32	а никольский	2	8
33	и что	8	8
34	он не	3	8
35	а также	2	8
36	и как	3	7
37	в те	3	7
38	несмотря на	4	7
39	там же	2	7
40	а в	2	7
41	в своих	4	7
42	в то	5	7
43	вместе с	2	7
44	как и	6	7
45	и даже	6	6
46	не мог	2	6
47	об этом	5	6
48	с точки	2	6
49	но это	2	6
50	и это	2	6
51	для нас	4	5
52	отношения к	2	5
53	не было	5	5
54	в ней	4	5
55	в истории	4	5
56	отнюдь не	2	5
57	что он	4	5
58	тем что	3	5
59	на то	3	4
60	в котором	6	4
61	при помощи	2	4
62	и все	7	4
63	еще не	2	4
64	и о	3	4
65	то же	5	4
66	а с	2	4
67	все же	6	4
68	но в	6	4
69	по мнению	2	4
70	уже в	4	3
71	я не	3	3
72	же как	2	3
73	это не	4	3
74	мы знаем	2	3
75	при этом	4	3
76	как бы	4	3
77	в виду	4	3
78	в нем	6	3
79	что есть	3	3
80	в связи	3	3
81	году в	2	3
82	в россии	5	3
83	же в	2	3
84	и у	3	3
85	далеко не	3	3
86	в чем	3	3
87	он сам	2	2
88	он был	3	2
89	же время	5	2
90	в нашей	2	2
91	но как	2	2
92	в начале	6	2
93	его в	3	2
94	в петербургском	2	2
95	те годы	2	2
96	во многом	4	2
97	с его	3	2
98	к этому	3	2
99	на первый	2	2
100	в это	2	2
101	из них	2	2
102	наряду с	3	2
103	в этот	3	2
104	в мире	2	2
105	который был	3	2
106	связи с	3	2
107	об этой	2	2
108	в в	2	2
109	же не	2	2
