N	2gram	Losev_Prob_3	DiskursI
1	в себе	8	19
2	при этом	4	17
3	в качестве	3	16
4	и в	44	16
5	может быть	28	16
6	как и	10	16
7	в этом	17	16
8	и не	35	15
9	а не	18	14
10	в частности	2	12
11	в отличие	2	12
12	отличие от	3	12
13	то есть	34	12
14	но и	10	11
15	но в	12	11
16	том что	12	10
17	не только	14	10
18	такого рода	6	9
19	так и	10	9
20	не может	7	9
21	в том	21	8
22	а также	4	8
23	как в	5	8
24	не менее	10	7
25	прежде всего	3	7
26	в нем	9	7
27	ни в	8	7
28	но не	3	7
29	в данном	9	7
30	отнюдь не	10	6
31	себя в	2	6
32	еще не	5	6
33	все же	6	6
34	в своей	5	6
35	данном случае	7	6
36	то же	13	6
37	тем самым	5	6
38	ни к	3	5
39	а с	2	5
40	что в	8	5
41	в своем	5	5
42	с другой	7	5
43	для него	3	5
44	героя в	2	5
45	то что	23	5
46	в то	9	5
47	как бы	9	4
48	с одной	2	4
49	ни для	2	4
50	потому что	25	4
51	в основе	2	4
52	точки зрения	5	4
53	в этой	3	4
54	и то	14	4
55	о том	6	4
56	не является	11	4
57	перед нами	8	3
58	и может	2	3
59	могут быть	2	3
60	в этих	2	3
61	это не	9	3
62	не столько	2	3
63	и все	3	3
64	или иной	8	3
65	уже не	7	3
66	и как	3	3
67	не в	13	3
68	здесь в	3	3
69	в контексте	2	3
70	можно сказать	6	3
71	он не	8	3
72	той или	12	3
73	в его	9	3
74	в котором	2	3
75	из них	2	3
76	жизни и	6	3
77	жизни а	3	3
78	и ее	3	3
79	не было	5	3
80	все эти	7	3
81	также и	16	3
82	как на	2	3
83	и его	5	3
84	но это	8	3
85	в басне	11	3
86	в другом	2	3
87	как будто	3	3
88	только в	19	3
89	жизни но	2	3
90	его в	3	3
91	содержит в	3	2
92	же как	3	2
93	никогда не	6	2
94	же касается	4	2
95	у пушкина	6	2
96	в целом	6	2
97	это в	2	2
98	первый взгляд	2	2
99	или иного	3	2
100	этом случае	5	2
101	на первый	4	2
102	в той	3	2
103	что он	9	2
104	а к	2	2
105	является не	2	2
106	есть в	3	2
107	того же	2	2
108	одно и	3	2
109	первую очередь	3	2
110	с их	2	2
111	о чем	2	2
112	со своим	2	2
113	в первую	3	2
114	некоторого рода	10	2
115	уже как	3	2
116	в ней	5	2
117	для себя	2	2
118	что и	9	2
119	с ее	2	2
120	с точки	2	2
121	с той	5	2
122	но уже	3	2
123	вместе с	2	2
124	с ней	5	2
125	что же	8	2
126	человеческой жизни	2	2
127	к их	2	2
128	именно в	2	2
129	и состоит	2	2
130	чем не	3	2
131	все это	5	2
132	другой стороны	5	2
133	и для	2	2
134	а в	5	2
135	тут же	4	2
136	в результате	2	2
137	пока еще	2	2
138	и с	9	2
139	может иметь	3	2
140	говорить о	3	2
141	или по	4	2
142	и это	9	2
143	дело в	4	2
144	здесь не	8	2
145	мы имеем	2	2
