N	2gram	Tiupa_Anal_2	Myshleni
1	в том	12	42
2	том что	12	35
3	таким образом	2	25
4	точки зрения	4	24
5	в этом	18	24
6	в качестве	11	21
7	и в	16	20
8	что в	2	19
9	то же	4	16
10	то что	7	15
11	не только	16	15
12	как мы	3	13
13	с другой	6	12
14	при этом	10	12
15	в их	3	12
16	может быть	6	12
17	в целом	8	11
18	так же	2	11
19	в его	2	11
20	с точки	2	11
21	этого слова	3	11
22	того что	2	10
23	на основе	2	10
24	и то	3	10
25	в себе	7	10
26	только в	4	10
27	одной стороны	4	9
28	но и	12	9
29	другой стороны	2	9
30	с одной	5	9
31	между тем	2	9
32	как это	6	9
33	как и	14	9
34	того же	4	9
35	что и	3	9
36	и не	12	8
37	и тем	4	8
38	в результате	3	8
39	этом смысле	2	8
40	было бы	3	8
41	вместе с	2	8
42	как бы	10	7
43	этом отношении	3	7
44	в своей	2	7
45	тем самым	4	7
46	а не	10	7
47	тем что	3	7
48	могут быть	10	7
49	к тому	7	6
50	тому же	4	6
51	такого рода	2	6
52	в самом	6	6
53	не может	4	6
54	те же	2	6
55	и на	6	6
56	сказать что	2	6
57	его в	2	6
58	той же	2	6
59	можно было	3	6
60	в частности	16	5
61	никогда не	3	5
62	на то	2	5
63	в действительности	3	5
64	только не	4	5
65	если бы	3	5
66	и его	4	5
67	и к	5	5
68	о том	7	5
69	речь идет	2	5
70	так и	15	5
71	как в	4	5
72	в нашем	3	4
73	в своем	4	4
74	как уже	3	4
75	в ходе	4	4
76	что с	2	4
77	из них	3	4
78	роль в	2	4
79	в сознании	4	4
80	состоит в	8	4
81	к этому	2	4
82	по выражению	2	4
83	в сущности	4	4
84	ключ к	3	4
85	в речи	3	4
86	не в	4	4
87	и для	2	4
88	на этом	4	3
89	не менее	4	3
90	обоих случаях	2	3
91	в этих	2	3
92	что все	2	3
93	так что	3	3
94	в этой	9	3
95	одной из	3	3
96	и является	4	3
97	один из	2	3
98	со стороны	3	3
99	именно в	3	3
100	столь же	4	3
101	на его	3	3
102	но в	6	3
103	отнюдь не	8	3
104	и во	2	3
105	этом случае	4	3
106	бы в	3	3
107	по существу	2	3
108	представляет собой	8	3
109	но не	4	3
110	в один	4	3
111	в обоих	2	3
112	себя в	2	3
113	приводит к	3	3
114	внимание на	2	3
115	на этот	2	3
116	нас к	2	3
117	место в	3	2
118	содержит в	3	2
119	прежде всего	3	2
120	что на	3	2
121	для него	4	2
122	мы узнаем	2	2
123	вслед за	2	2
124	и второй	2	2
125	данном случае	5	2
126	в отличие	2	2
127	не имеет	2	2
128	а в	3	2
129	вообще не	2	2
130	не знает	3	2
131	в данном	8	2
132	мы имеем	3	2
133	между двумя	4	2
134	уже и	2	2
135	у него	4	2
136	а затем	2	2
137	с той	2	2
138	еще не	2	2
139	никак не	2	2
140	а также	7	2
141	даже в	2	2
142	не есть	2	2
143	как говорит	2	2
144	ли не	2	2
145	только на	3	2
146	и т.п	8	2
147	тогда как	19	2
148	и он	2	2
149	в таком	2	2
150	тому как	3	2
151	подобно тому	3	2
152	и т.д	3	2
153	на котором	2	2
154	едва ли	3	2
155	отличие от	2	2
156	же не	2	2
