N	3gram	Vinokur_St_1	Myshleni
1	с точки зрения	8	21
2	для того чтобы	10	18
3	в этом случае	2	14
4	в том что	17	13
5	так же как	3	7
6	в данном случае	6	5
7	с одной стороны	2	5
8	по отношению к	3	5
9	в самом деле	5	4
10	о том что	11	4
11	на то что	4	4
12	не может быть	5	4
13	заключается в том	3	4
14	и то что	2	3
15	тем не менее	2	3
16	в наших глазах	2	3
17	по этому поводу	2	3
18	как и в	2	3
19	в этом отношении	7	3
20	во втором случае	2	3
21	до сих пор	7	3
22	в то время	2	2
23	том что в	3	2
24	в той же	2	2
25	как раз в	2	2
26	мере в какой	2	2
27	одним и тем	2	2
28	и тем же	2	2
29	на самом деле	6	2
