N	3gram	Propp_Isto_2	Problema
1	и т д	18	10
2	на то что	2	8
3	о том что	2	5
4	в том что	5	5
5	т д и	2	4
6	точно так же	6	4
7	в связи с	4	4
8	на самом деле	2	4
9	иметь в виду	2	3
10	до сих пор	6	3
11	с другой стороны	2	3
12	так же и	3	3
13	можно было бы	3	2
14	во всех этих	2	2
15	так же как	4	2
16	в таких случаях	2	2
17	что иное как	2	2
18	в этом случае	5	2
19	подобно тому как	3	2
20	в этих случаях	8	2
21	не что иное	2	2
22	в других случаях	2	2
23	сих пор мы	2	2
24	с тем что	3	2
25	не может быть	2	2
26	мы увидим ниже	4	2
