N	2gram	Tiupa_Narr_2	Istorich
1	что он	5	24
2	и т	2	19
3	не только	26	18
4	может быть	10	17
5	никогда не	6	15
6	и в	13	15
7	мы имеем	3	15
8	но и	15	14
9	так же	2	13
10	что в	4	12
11	а в	9	12
12	то что	8	12
13	об этом	4	11
14	и не	14	11
15	в этом	13	11
16	что они	3	10
17	то же	4	10
18	еще не	2	9
19	все же	6	9
20	и здесь	2	9
21	в другом	4	9
22	потому что	2	9
23	один из	3	8
24	он не	5	8
25	том что	13	7
26	в нем	5	7
27	таким образом	5	7
28	не в	8	7
29	ничего не	6	7
30	видно что	2	6
31	точно так	2	6
32	что это	4	6
33	в его	6	6
34	как бы	6	6
35	что и	2	6
36	и что	2	6
37	в том	14	6
38	только в	11	6
39	но в	6	6
40	прежде всего	6	5
41	к тому	9	5
42	как в	5	5
43	было бы	2	5
44	же как	2	5
45	в котором	5	5
46	на него	5	5
47	так и	9	5
48	что она	2	5
49	не может	8	5
50	а не	17	5
51	можно было	2	5
52	представления о	2	5
53	представляет собой	16	5
54	к которому	2	5
55	с одной	5	4
56	а потом	2	4
57	у него	6	4
58	для нас	2	4
59	но это	2	4
60	в этой	4	4
61	при этом	14	4
62	но он	2	4
63	в ней	2	4
64	о нем	3	4
65	у нее	4	4
66	не должен	2	4
67	они не	2	4
68	в себе	8	4
69	все эти	3	4
70	должен был	2	3
71	в качестве	14	3
72	и его	3	3
73	из этих	2	3
74	на то	2	3
75	как это	4	3
76	одной стороны	5	3
77	не происходит	2	3
78	о том	5	3
79	отношению к	5	3
80	по отношению	5	3
81	в себя	4	3
82	того что	6	3
83	роль в	2	3
84	мы не	2	3
85	тому как	2	3
86	подобно тому	2	3
87	представляют собой	2	3
88	как он	2	3
89	в других	2	3
90	он является	3	2
91	во время	2	2
92	я не	5	2
93	зависит от	2	2
94	и более	2	2
95	перед нами	4	2
96	с другой	5	2
97	это не	3	2
98	не столько	5	2
99	в жизни	6	2
100	к себе	7	2
101	на самом	2	2
102	что у	2	2
103	да и	3	2
104	именно в	2	2
105	как и	4	2
106	в силу	4	2
107	одна из	3	2
108	но не	3	2
109	а то	2	2
110	одно из	2	2
111	того чтобы	3	2
112	и для	3	2
113	и когда	3	2
114	а также	6	2
115	не все	2	2
116	хотя бы	2	2
117	той же	2	2
118	а с	2	2
119	превращается в	2	2
120	самом деле	3	2
121	тем самым	5	2
122	и по	3	2
123	с ними	3	2
124	сказать что	3	2
125	к ней	3	2
126	состоит в	12	2
127	здесь не	2	2
128	так сказать	3	2
129	в него	2	2
130	тому же	4	2
131	видит в	2	2
