N	2gram	Ircho_Kome_2	Vladivir
1	и в	26	31
2	не только	7	24
3	но и	10	19
4	то что	6	18
5	и не	14	17
6	у него	4	15
7	он был	2	14
8	том что	9	14
9	что в	9	14
10	в этом	10	14
11	и с	5	14
12	что он	5	12
13	по поводу	3	12
14	в его	4	12
15	но в	3	12
16	с его	5	11
17	в том	11	11
18	философии и	2	11
19	потому что	6	11
20	о том	6	11
21	так что	5	10
22	он не	2	10
23	как мы	4	9
24	а в	3	9
25	в течение	2	9
26	только в	4	9
27	в конце	2	9
28	в то	6	8
29	так как	4	8
30	уже в	4	7
31	в доме	6	7
32	об этом	2	7
33	тут же	2	7
34	и его	12	7
35	как это	4	7
36	к этому	5	6
37	и был	2	6
38	и к	2	6
39	в качестве	5	6
40	того же	3	6
41	и сам	3	6
42	может быть	11	6
43	в котором	3	6
44	так и	12	6
45	не может	3	6
46	то же	3	6
47	и что	2	6
48	на этот	4	6
49	это было	4	6
50	все это	3	5
51	вовсе не	2	5
52	в период	3	5
53	не в	2	5
54	и если	2	5
55	и от	4	5
56	что и	7	5
57	жизни и	3	5
58	не было	3	5
59	после смерти	3	4
60	же время	3	4
61	в своем	6	4
62	что у	4	4
63	и все	2	4
64	этом смысле	2	4
65	в нем	6	4
66	для нас	3	4
67	да и	3	4
68	что его	3	4
69	как и	4	4
70	в этой	3	4
71	хотя и	4	4
72	еще в	4	4
73	и особенно	3	4
74	один из	5	4
75	в нашем	2	4
76	себя в	3	4
77	в своей	3	4
78	в истории	5	4
79	и у	2	4
80	что для	4	4
81	из его	2	4
82	как он	3	4
83	к нему	3	4
84	в которой	5	4
85	этот раз	4	4
86	к тому	12	3
87	отнюдь не	2	3
88	со своей	3	3
89	с другой	2	3
90	молодым человеком	2	3
91	как в	3	3
92	но не	3	3
93	по своему	2	3
94	тот же	2	3
95	все же	4	3
96	в целом	4	3
97	отношение к	2	3
98	вместе с	9	3
99	в связи	3	3
100	таким образом	6	3
101	если не	2	3
102	в в	4	3
103	едва ли	14	3
104	и на	7	3
105	что касается	3	3
106	на себя	7	3
107	это время	3	3
108	к его	2	3
109	и здесь	6	3
110	в начале	4	3
111	во время	6	3
112	место в	4	2
113	молодой человек	9	2
114	тем что	3	2
115	в ответ	2	2
116	с и	4	2
117	с тем	5	2
118	не менее	4	2
119	в частности	4	2
120	нет и	2	2
121	в них	4	2
122	хотя бы	2	2
123	к концу	3	2
124	т и	2	2
125	и я	2	2
126	ясно что	8	2
127	в тех	3	2
128	одной из	4	2
129	о его	4	2
130	мы знаем	3	2
131	ни в	5	2
132	тому же	11	2
133	семейной жизни	2	2
134	на этом	2	2
135	то время	3	2
136	своего времени	2	2
137	еще не	6	2
138	было бы	8	2
139	в это	2	2
140	что на	3	2
141	в самом	4	2
142	одним из	2	2
143	на это	2	2
144	на что	2	2
145	всяком случае	2	2
146	с которым	2	2
147	даже в	2	2
148	и т	2	2
149	из них	7	2
150	не по	4	2
151	из этого	2	2
152	со стороны	2	2
153	что она	2	2
154	даже не	3	2
155	и для	4	2
156	отрывки из	3	2
157	на основании	5	2
158	и за	2	2
159	того чтобы	6	2
160	для того	5	2
161	времени в	2	2
162	той же	3	2
163	ко времени	3	2
164	была не	2	2
165	с ними	2	2
166	в философии	2	2
167	во всяком	2	2
168	больше чем	5	2
169	точки зрения	4	2
170	под названием	2	2
171	из этих	4	2
172	и еще	2	2
173	этому времени	2	2
174	и это	2	2
175	тех же	3	2
176	ответ на	3	2
177	по всем	2	2
