N	2gram	Tiupa_Narr_1	Psycholo
1	то что	9	44
2	и в	11	33
3	в этом	12	28
4	как бы	6	25
5	потому что	5	24
6	для того	3	23
7	может быть	15	22
8	том что	7	22
9	того чтобы	4	22
10	что в	3	21
11	в том	8	21
12	о том	4	20
13	что он	3	20
14	только что	2	15
15	как это	3	14
16	и не	23	13
17	сказать что	2	13
18	то есть	9	13
19	к тому	6	12
20	в самом	6	12
21	и все	3	12
22	самом деле	3	12
23	он не	3	11
24	на то	2	10
25	не может	8	10
26	в его	6	10
27	как она	2	10
28	если бы	7	10
29	в этой	6	9
30	по себе	4	9
31	как раз	6	9
32	то же	8	9
33	в конце	2	8
34	вместе с	2	8
35	в рассказе	8	8
36	как будто	3	8
37	в своем	3	7
38	до конца	2	7
39	в нем	4	7
40	и только	2	7
41	раз в	2	7
42	не только	31	7
43	перед нами	5	6
44	это не	3	6
45	в ней	4	6
46	и вот	2	6
47	точки зрения	5	6
48	что мы	2	6
49	же самое	2	6
50	у него	7	6
51	в сущности	2	6
52	никак не	2	6
53	а не	13	6
54	в себе	6	6
55	казалось бы	2	5
56	никогда не	4	5
57	и как	3	5
58	в целом	3	5
59	мы не	3	5
60	и на	5	5
61	с ним	2	5
62	мы можем	2	5
63	как и	13	5
64	и его	10	5
65	о смерти	2	5
66	все же	4	5
67	в частности	14	4
68	что у	4	4
69	из них	4	4
70	жизни и	6	4
71	от этих	2	4
72	а в	13	4
73	того что	4	4
74	в жизни	3	4
75	об этом	6	4
76	у нас	3	4
77	одна из	4	4
78	и о	3	4
79	о нем	3	4
80	себя в	2	4
81	не будет	2	4
82	в своей	5	4
83	как мы	2	4
84	что не	2	4
85	в таком	2	4
86	исходя из	3	4
87	только в	12	4
88	это было	2	4
89	что может	2	3
90	в мире	4	3
91	тому же	6	3
92	в пределах	2	3
93	всяком случае	2	3
94	с ее	2	3
95	но и	27	3
96	не было	3	3
97	их в	3	3
98	в то	4	3
99	события в	2	3
100	та же	2	3
101	могло бы	3	3
102	в одном	4	3
103	идет о	3	3
104	но не	4	3
105	до сих	2	3
106	она не	2	3
107	речь идет	3	3
108	сами по	2	3
109	рассказа в	5	3
110	сих пор	2	3
111	так и	5	3
112	как в	4	3
113	да и	2	3
114	дело с	2	3
115	тем самым	5	3
116	и он	6	3
117	и для	2	3
118	во всяком	2	3
119	еще раз	3	3
120	в той	2	3
121	его и	2	2
122	столь же	5	2
123	с другой	2	2
124	и от	2	2
125	из этих	4	2
126	прежде всего	4	2
127	времени и	9	2
128	же время	4	2
129	при этом	19	2
130	и является	2	2
131	не является	3	2
132	точка зрения	5	2
133	один из	6	2
134	о них	3	2
135	другой стороны	2	2
136	быть не	3	2
137	именно в	3	2
138	не имеет	2	2
139	о ней	3	2
140	в результате	2	2
141	и с	3	2
142	также и	3	2
143	не в	6	2
144	мы имеем	3	2
145	но в	7	2
146	с его	4	2
147	повествования и	3	2
148	что касается	2	2
149	представляет собой	8	2
150	а на	2	2
151	можно сказать	5	2
152	иначе говоря	8	2
153	не по	4	2
154	мать и	2	2
155	на две	2	2
156	со стороны	8	2
157	внимание на	4	2
158	событие в	5	2
159	сводится к	3	2
160	хотя бы	2	2
161	слов в	2	2
162	тому как	3	2
163	и то	3	2
164	между двумя	5	2
165	и ее	3	2
166	связи с	2	2
167	на ее	2	2
168	в русской	3	2
169	героя и	2	2
170	едва ли	3	2
171	ничего не	2	2
