N	3gram	Tiupa_Narr_1	Problema
1	по отношению к	6	19
2	не может быть	5	11
3	с точки зрения	2	6
4	в отличие от	5	5
5	в данном случае	4	4
6	с другой стороны	4	4
7	в конечном счете	2	4
8	то же время	3	3
9	в то же	3	3
10	с одной стороны	7	3
11	можно было бы	2	3
12	тем не менее	3	3
13	бы то ни	3	3
14	в том что	8	3
15	в основе своей	4	3
16	то ни было	3	2
17	то или иное	2	2
18	той или иной	4	2
19	мы имеем дело	2	2
20	не только в	2	2
21	того или иного	2	2
22	можно сказать что	4	2
23	в этом отношении	3	2
24	и тем самым	3	2
