N	2gram	Berdyaev_O_1	Hudozhes
1	и не	13	16
2	в том	5	15
3	и в	19	15
4	не только	11	15
5	может быть	11	13
6	а в	5	12
7	и его	4	12
8	в этом	12	11
9	в себе	3	11
10	как бы	3	10
11	но и	13	10
12	так и	2	10
13	а не	11	10
14	в его	7	9
15	в душе	2	8
16	но в	2	7
17	с его	4	6
18	что в	4	6
19	в ее	2	6
20	том что	2	6
21	не в	11	6
22	отношение к	5	6
23	не может	4	6
24	могут быть	3	5
25	в самом	5	5
26	того что	3	5
27	в нем	10	5
28	то что	5	5
29	в этих	3	4
30	прежде всего	9	4
31	в другом	2	4
32	для него	5	4
33	еще не	3	4
34	хотя и	2	4
35	он не	7	4
36	в своей	2	4
37	как к	2	4
38	и то	2	4
39	сказать что	2	4
40	личности и	2	3
41	это не	3	3
42	что он	3	3
43	и к	2	3
44	человека к	2	3
45	к нему	3	3
46	как и	6	3
47	лишь в	7	3
48	и для	2	3
49	потому что	9	3
50	но он	7	3
51	и ее	3	3
52	в русской	3	3
53	его в	2	3
54	в которой	2	3
55	жизни в	2	2
56	в своем	2	2
57	человека и	10	2
58	по себе	2	2
59	о его	5	2
60	никто не	3	2
61	и о	2	2
62	и потому	2	2
63	не все	2	2
64	все эти	4	2
65	этом мире	2	2
66	того чтобы	4	2
67	для того	3	2
68	с ним	3	2
69	и на	2	2
70	у него	22	2
71	одно из	2	2
72	человеческих отношений	4	2
73	в этой	5	2
74	о том	3	2
