N	2gram	Vygotskiy__7	Problema
1	и не	18	28
2	не только	24	24
3	только в	8	23
4	вовсе не	2	21
5	в том	18	20
6	и в	26	20
7	ни в	2	17
8	все эти	6	16
9	то что	24	15
10	потому что	16	15
11	у нас	2	14
12	было бы	6	14
13	но и	11	14
14	точки зрения	28	14
15	перед нами	2	13
16	не в	4	13
17	также и	2	13
18	в нашем	4	12
19	не есть	4	12
20	в себе	9	12
21	том что	17	12
22	прежде всего	7	11
23	по себе	3	11
24	подобного рода	2	11
25	с точки	21	11
26	не менее	4	10
27	тем не	3	10
28	в качестве	5	10
29	не является	3	10
30	так и	3	10
31	и его	12	10
32	едва ли	4	10
33	может быть	7	9
34	все это	3	9
35	в этом	29	9
36	содержит в	3	8
37	если бы	5	8
38	что он	8	8
39	таким образом	23	8
40	в той	4	8
41	во всяком	2	8
42	но в	4	8
43	с другой	4	7
44	это не	3	7
45	есть в	3	7
46	еще не	4	7
47	мы не	7	7
48	и потому	3	7
49	и тем	6	7
50	то же	8	7
51	именно в	6	7
52	а не	6	7
53	сказать что	8	7
54	и с	5	7
55	в ней	3	7
56	об этом	3	6
57	и от	4	6
58	так что	4	6
59	для нас	2	6
60	как и	15	6
61	но это	3	6
62	есть не	3	6
63	по своему	9	6
64	но если	2	6
65	в виду	5	6
66	в данном	5	6
67	же самое	5	6
68	но не	3	5
69	на самом	3	5
70	в нем	2	5
71	в смысле	6	5
72	можно сказать	5	5
73	мере не	2	5
74	в ее	6	5
75	случае не	2	5
76	и о	3	5
77	вместе с	12	5
78	данном случае	5	5
79	как в	4	5
80	так же	14	5
81	то и	4	5
82	не может	11	5
83	только и	3	5
84	так как	14	5
85	если мы	5	5
86	или в	2	5
87	в этих	2	5
88	о том	4	5
89	уже в	2	4
90	с тем	5	4
91	и есть	2	4
92	в отношении	2	4
93	в какой	6	4
94	и для	5	4
95	и во	4	4
96	и ее	2	4
97	в математике	2	4
98	в самой	3	4
99	что его	2	4
100	это и	4	4
101	в этой	3	4
102	тем самым	8	4
103	только не	11	4
104	одной из	4	4
105	несмотря на	2	4
106	в своей	3	4
107	никак не	5	4
108	что она	8	4
109	как бы	6	4
110	какой мере	2	4
111	не имеет	2	4
112	во всех	6	4
113	отличается от	3	4
114	и только	4	4
115	с этим	2	4
116	а в	2	4
117	что не	2	4
118	и наконец	4	4
119	можно было	2	4
120	как раз	3	4
121	в то	3	4
122	здесь как	2	4
123	с ним	3	4
124	к тому	7	3
125	и весь	2	3
126	казалось бы	2	3
127	можно ли	2	3
128	были бы	3	3
129	само собой	2	3
130	точно так	2	3
131	с собой	3	3
132	и к	7	3
133	слова но	3	3
134	как мы	14	3
135	для него	3	3
136	это есть	4	3
137	в начале	5	3
138	связи с	4	3
139	учение о	3	3
140	совершенно не	2	3
141	себе в	5	3
142	и является	3	3
143	в его	4	3
144	только к	2	3
145	что и	3	3
146	что в	12	3
147	даже если	2	3
148	самом деле	6	3
149	и другое	3	3
150	для того	18	3
151	из которых	2	3
152	что мы	9	3
153	к нему	3	3
154	с другими	3	3
155	тем что	9	3
156	к его	2	3
157	в сознании	6	3
158	мы должны	6	3
159	как это	5	3
160	из этого	2	3
161	в области	4	3
162	мы можем	3	3
163	в известном	2	2
164	в меру	7	2
165	по этому	4	2
166	между собой	6	2
167	для этого	3	2
168	мы ни	2	2
169	столь же	2	2
170	она является	2	2
171	не чем	2	2
172	в конце	4	2
173	не раз	2	2
174	представить себе	3	2
175	для себя	24	2
176	стороны и	4	2
177	нет и	3	2
178	человеческого сознания	2	2
179	от всякой	2	2
180	о которых	2	2
181	то в	2	2
182	является не	2	2
183	что они	10	2
184	заключается в	6	2
185	то время	2	2
186	говорит что	2	2
187	но именно	2	2
188	со всеми	2	2
189	что это	6	2
190	на его	2	2
191	в самом	9	2
192	он не	3	2
193	к ней	2	2
194	относится к	2	2
195	время как	2	2
196	никто не	2	2
197	в котором	4	2
198	понятия но	2	2
199	все же	6	2
200	с ее	2	2
201	каждой из	3	2
202	с ней	2	2
203	но только	3	2
204	только на	3	2
205	этого понятия	2	2
206	мы находим	3	2
207	но эта	2	2
208	она в	2	2
209	и что	6	2
210	того чтобы	19	2
211	и больше	2	2
212	и он	2	2
213	только что	5	2
214	и по	3	2
215	есть только	2	2
216	друг друга	4	2
217	почти всегда	2	2
218	иным как	2	2
219	чем иным	2	2
220	и то	7	2
221	во всем	3	2
222	но этот	2	2
223	его в	2	2
224	в чем	3	2
225	в которой	11	2
226	учения о	4	2
