N	2gram	Medvedev_U_1	Stilisti
1	и в	14	42
2	не только	10	27
3	прежде всего	8	22
4	и т.д	3	20
5	хотя бы	5	17
6	но и	4	15
7	то же	5	15
8	и не	8	14
9	может быть	6	12
10	не может	7	12
11	как и	3	11
12	что мы	2	10
13	в этом	7	10
14	в то	3	9
15	то что	7	9
16	мы не	2	9
17	все же	3	8
18	таким образом	2	8
19	в себе	2	8
20	же время	3	7
21	с его	2	7
22	было бы	3	7
23	а не	10	7
24	только в	2	7
25	ничего не	2	7
26	не в	2	6
27	в этой	4	6
28	в конце	2	6
29	в области	3	6
30	и является	2	5
31	и с	2	5
32	же самое	2	5
33	в его	2	5
34	художественного творчества	5	4
35	в самом	2	4
36	все это	5	4
37	но в	3	4
38	если бы	2	4
39	у нас	3	4
40	самом деле	2	4
41	и то	3	4
42	вопроса о	2	4
43	его и	2	3
44	это не	3	3
45	как таковой	2	3
46	том что	2	3
47	конечно не	4	3
48	тех или	2	3
49	что и	2	3
50	вряд ли	3	3
51	если не	2	3
52	что такое	4	3
53	и для	2	3
54	конце концов	2	3
55	бы и	2	2
56	в частности	3	2
57	но даже	2	2
58	в том	2	2
59	но это	2	2
60	очевидно что	3	2
61	для него	3	2
62	этом отношении	2	2
63	даже и	2	2
64	для всех	2	2
65	смысле этого	2	2
66	или иных	2	2
67	что он	2	2
68	на первый	2	2
69	материал для	2	2
70	должна была	2	2
71	но не	2	2
72	не есть	2	2
73	в своей	3	2
74	сих пор	2	2
75	тем что	2	2
