N	2gram	Bakhtin_Pr_1	Morfolog
1	может быть	26	52
2	и т	14	49
3	и пр	2	40
4	таким образом	10	20
5	не может	27	17
6	в этих	2	16
7	могут быть	5	15
8	и в	38	13
9	в этом	15	13
10	и др	8	12
11	связи с	2	11
12	прежде всего	13	9
13	не всегда	6	9
14	так и	5	9
15	в связи	2	9
16	то же	5	9
17	и не	42	9
18	а не	5	9
19	мы имеем	2	9
20	с другой	7	8
21	по существу	2	8
22	что и	2	8
23	в тех	3	7
24	и этим	6	7
25	все же	6	7
26	это не	5	6
27	не могут	2	6
28	и здесь	2	6
29	в том	8	6
30	но не	12	6
31	в форме	4	6
32	а в	6	6
33	не менее	4	5
34	и другие	2	5
35	этот момент	2	5
36	мы увидим	3	5
37	во всех	11	5
38	далеко не	5	5
39	как бы	22	5
40	не все	2	5
41	то что	8	5
42	или в	2	5
43	что в	7	4
44	и как	8	4
45	вовсе не	2	4
46	тем не	3	4
47	отношению к	19	4
48	случае не	2	4
49	было бы	8	4
50	несмотря на	3	4
51	ни одна	2	4
52	не только	9	4
53	в некоторых	2	4
54	как в	4	4
55	как мы	7	4
56	другой стороны	4	4
57	по отношению	21	4
58	показать что	2	4
59	как и	7	4
60	там где	6	4
61	хотя и	3	4
62	тем что	2	4
63	точки зрения	8	4
64	с точки	6	4
65	на этом	2	4
66	также и	3	4
67	его в	9	4
68	в иных	3	4
69	оно может	2	4
70	ничего не	6	4
71	в других	4	4
72	независимо от	13	3
73	если бы	3	3
74	в нашем	4	3
75	в начале	2	3
76	в какой	2	3
77	он должен	2	3
78	том что	3	3
79	но это	3	3
80	здесь же	2	3
81	в целом	3	3
82	кроме того	3	3
83	в пределах	6	3
84	того чтобы	2	3
85	он не	3	3
86	не является	3	3
87	ни в	11	3
88	но и	9	3
89	на него	3	3
90	входит в	8	3
91	на самом	4	3
92	самом деле	6	3
93	из которых	2	3
94	к чему	2	3
95	к нему	10	3
96	и для	11	3
97	мы можем	6	3
98	и ее	2	3
99	в то	4	3
100	мы должны	2	3
101	но в	4	3
102	иных случаях	3	2
103	ни к	2	2
104	и более	2	2
105	в виде	2	2
106	в частности	2	2
107	хотя бы	4	2
108	чтобы его	2	2
109	что эта	2	2
110	к этому	2	2
111	что он	2	2
112	можно сказать	2	2
113	и к	3	2
114	на первый	2	2
115	не с	4	2
116	и при	2	2
117	только в	13	2
118	от него	3	2
119	в большинстве	5	2
120	смысле слова	2	2
121	можно сделать	2	2
122	одной стороны	3	2
123	одной из	3	2
124	себя и	3	2
125	в таких	2	2
126	оно не	3	2
127	себя в	2	2
128	где оно	2	2
129	без всякой	2	2
130	вопроса о	3	2
131	и только	4	2
132	материала а	3	2
133	с одной	3	2
134	все эти	5	2
135	и что	2	2
136	к себе	2	2
137	того что	2	2
138	для того	2	2
139	не имеет	9	2
140	и его	16	2
141	можно было	4	2
142	получает от	2	2
143	в другом	2	2
144	не знает	3	2
145	о том	4	2
146	ясно что	3	2
147	здесь не	4	2
148	но здесь	3	2
149	большинстве случаев	5	2
150	одна из	2	2
151	сказать что	4	2
152	как это	2	2
