N	2gram	Tiupa_Anal_1	Myslijsy
1	потому что	2	46
2	то есть	11	34
3	в том	27	32
4	и в	18	30
5	может быть	29	28
6	то же	9	23
7	не только	15	21
8	только в	6	21
9	но и	17	19
10	том что	12	18
11	то что	6	18
12	того что	4	18
13	что в	5	17
14	не есть	8	17
15	по себе	4	16
16	в себе	11	16
17	в сознании	2	15
18	не в	14	15
19	и не	21	15
20	а не	17	15
21	таким образом	3	14
22	что и	3	13
23	так как	2	13
24	вместе с	4	12
25	а в	9	12
26	если бы	3	12
27	этого слова	7	11
28	так и	4	11
29	как и	13	10
30	в этом	13	10
31	в то	9	10
32	из этих	2	9
33	для него	2	9
34	было бы	2	9
35	в нем	3	9
36	между тем	5	9
37	тогда когда	2	9
38	в самом	6	8
39	что не	3	8
40	что мы	3	8
41	и то	2	8
42	с другой	4	7
43	вовсе не	2	7
44	к тому	7	7
45	как мы	2	7
46	но не	10	7
47	есть не	8	7
48	с одной	3	7
49	тем самым	7	7
50	что он	3	6
51	из них	2	6
52	душевной жизни	2	6
53	художественное произведение	5	6
54	не может	22	6
55	уже не	4	6
56	с ним	4	6
57	не могут	3	5
58	думать что	2	5
59	художественного произведения	5	5
60	и как	5	5
61	же время	6	5
62	еще не	3	5
63	мысль о	2	5
64	отношению к	5	5
65	по отношению	6	5
66	должно быть	2	5
67	с другими	4	5
68	тому как	3	5
69	не следует	4	5
70	и т	3	5
71	столь же	4	4
72	что именно	2	4
73	произведении искусства	3	4
74	в его	13	4
75	себя и	4	4
76	была бы	2	4
77	в котором	3	4
78	тем более	2	4
79	не все	2	4
80	один из	2	4
81	не к	2	4
82	другой стороны	2	4
83	бы не	2	4
84	и его	5	4
85	он не	3	4
86	для того	4	4
87	и по	2	4
88	говоря о	2	4
89	далеко не	6	4
90	и потому	2	4
91	место в	3	3
92	быть может	2	3
93	не говоря	2	3
94	и есть	3	3
95	могут быть	4	3
96	прежде всего	6	3
97	и все	3	3
98	я и	6	3
99	именно в	4	3
100	не будет	3	3
101	бы ни	2	3
102	можно сказать	2	3
103	одной стороны	3	3
104	при этом	12	3
105	в ряду	2	3
106	как бы	5	3
107	никто не	3	3
108	для себя	2	3
109	в целом	5	3
110	со стороны	2	3
111	и тогда	2	3
112	того чтобы	3	3
113	к нему	3	3
114	в силу	3	3
115	в таком	3	3
116	и на	5	3
117	в искусстве	2	3
118	в начале	2	3
119	в первом	2	3
120	в произведении	5	3
121	в которой	2	3
122	только не	2	2
123	и та	2	2
124	в какой	2	2
125	первом случае	2	2
126	не столько	2	2
127	в субъекте	2	2
128	на все	2	2
129	не всегда	4	2
130	а как	2	2
131	в собственном	3	2
132	его к	2	2
133	отношение к	2	2
134	в этой	5	2
135	могла бы	3	2
136	несмотря на	2	2
137	на его	2	2
138	том чтобы	7	2
139	и о	2	2
140	в свое	2	2
141	за пределы	2	2
142	даже в	3	2
143	язык есть	2	2
144	в новом	2	2
145	собственно говоря	4	2
146	вопрос об	3	2
147	все же	4	2
148	в своей	6	2
149	и до	2	2
150	бы быть	3	2
151	что же	2	2
152	в их	5	2
153	т п	3	2
154	тогда как	14	2
155	что как	3	2
156	а с	3	2
157	этом отношении	2	2
158	быть не	3	2
159	из того	4	2
160	самом деле	2	2
161	той же	2	2
162	ни в	4	2
163	точки зрения	6	2
164	из виду	2	2
165	подобно тому	3	2
166	то он	2	2
167	а напротив	2	2
168	о том	5	2
169	произведения искусства	3	2
170	таком случае	3	2
171	в области	4	2
172	и с	2	2
