N	2gram	Tiupa_Lite_3	PoTuStor
1	может быть	12	17
2	и в	16	16
3	прежде всего	3	9
4	в этом	14	9
5	и только	2	9
6	совершенно не	3	8
7	и его	6	8
8	и с	2	8
9	точки зрения	7	8
10	не может	8	8
11	с его	6	7
12	не только	14	7
13	и к	3	6
14	с точки	3	6
15	самом деле	3	6
16	для него	2	6
17	при этом	15	6
18	я и	10	6
19	только для	3	5
20	отношение к	2	5
21	еще не	6	5
22	как бы	8	5
23	в нем	2	4
24	отнюдь не	3	4
25	но и	14	4
26	так и	9	4
27	и не	22	4
28	как мы	2	4
29	и ее	2	4
30	можно сказать	2	4
31	и наконец	3	4
32	и даже	2	4
33	с ними	2	4
34	и на	2	4
35	в этой	8	4
36	художественного творчества	2	4
37	с ее	3	4
38	только в	7	4
39	его в	2	4
40	но в	3	4
41	в его	6	4
42	что в	2	3
43	жизни и	3	3
44	во всех	2	3
45	вместе с	5	3
46	отношения к	3	3
47	в одном	4	3
48	к себе	8	3
49	и вот	2	3
50	в том	12	3
51	а в	5	3
52	том что	8	3
53	и как	3	3
54	то что	12	3
55	в основе	5	3
56	едва ли	3	3
57	мира и	2	3
58	как это	3	3
59	в области	3	3
60	и потому	2	3
61	не менее	2	2
62	ее в	2	2
63	один из	2	2
64	что и	2	2
65	ни было	2	2
66	сознания и	2	2
67	в частности	11	2
68	никогда не	4	2
69	что не	2	2
70	того же	2	2
71	во всей	2	2
72	оно не	2	2
73	с этой	2	2
74	в жизни	8	2
75	то же	9	2
76	быть может	2	2
77	по аналогии	2	2
78	к этому	2	2
79	не знает	2	2
80	он ищет	2	2
81	что он	5	2
82	и т.п	6	2
83	и для	4	2
84	как и	5	2
85	своей жизни	2	2
86	так же	2	2
87	это последнее	2	2
88	а на	2	2
89	в начале	4	2
90	было бы	2	2
91	со всеми	2	2
92	о том	6	2
93	в самом	3	2
94	в своей	7	2
95	для меня	2	2
96	себя и	2	2
