N	2gram	Potebnia_M_3	Dialekti
1	не есть	17	54
2	и не	15	27
3	а не	15	26
4	точки зрения	2	25
5	и в	30	24
6	и т	5	24
7	не только	21	23
8	есть нечто	4	23
9	т д	3	23
10	что такое	2	21
11	по себе	16	20
12	не может	6	19
13	и есть	3	16
14	и что	10	15
15	что все	3	14
16	в таком	3	14
17	то что	18	14
18	может быть	28	13
19	таким образом	14	13
20	и даже	2	13
21	что он	6	13
22	вовсе не	7	13
23	что это	4	12
24	того что	18	12
25	есть только	5	12
26	не менее	5	11
27	не имеет	6	11
28	что же	2	11
29	тем не	3	10
30	таком случае	2	10
31	не существует	3	10
32	только не	2	10
33	ни в	2	9
34	то это	6	9
35	но и	19	9
36	что она	3	9
37	есть не	7	9
38	прежде всего	3	8
39	так что	7	8
40	и как	5	8
41	что мы	8	8
42	том что	18	8
43	в этом	10	8
44	в виде	2	8
45	что в	17	7
46	но что	2	7
47	в самом	8	7
48	что оно	11	7
49	потому что	46	7
50	это и	2	7
51	как и	10	7
52	только на	3	7
53	есть то	2	6
54	все это	4	6
55	и с	2	6
56	о том	2	6
57	так как	13	6
58	возможно только	3	6
59	если бы	12	6
60	и все	3	6
61	об этом	2	6
62	оно не	4	6
63	что и	13	6
64	от всего	3	6
65	то же	23	6
66	самом деле	2	6
67	с этой	2	5
68	в том	32	5
69	но это	6	5
70	только как	5	5
71	жизни и	2	5
72	и его	4	5
73	как на	5	5
74	что для	4	5
75	одно из	5	5
76	в то	10	5
77	само по	3	5
78	в них	5	5
79	по крайней	5	5
80	тогда когда	9	5
81	одно и	5	5
82	было бы	9	5
83	он не	4	5
84	крайней мере	5	5
85	так и	11	5
86	и тогда	3	5
87	уже не	6	5
88	что не	8	5
89	и притом	2	5
90	мы не	9	5
91	сам по	5	5
92	только в	21	5
93	тому что	3	4
94	с другой	7	4
95	не могут	5	4
96	то время	4	4
97	сама по	2	4
98	к тому	7	4
99	как о	2	4
100	что есть	2	4
101	можно только	2	4
102	но только	2	4
103	так же	3	4
104	сказать что	5	4
105	говорить о	3	4
106	от того	8	4
107	только что	8	4
108	собственно говоря	2	4
109	в чем	3	4
110	тому как	5	4
111	и то	8	4
112	подобно тому	2	4
113	и это	4	4
114	для него	9	4
115	перед нами	2	3
116	быть может	3	3
117	не было	4	3
118	все же	2	3
119	вопрос об	2	3
120	за пределы	2	3
121	и без	7	3
122	в своем	5	3
123	и от	4	3
124	была бы	4	3
125	что именно	4	3
126	не в	15	3
127	есть в	3	3
128	она не	2	3
129	же время	5	3
130	одной стороны	3	3
131	из двух	3	3
132	тем более	4	3
133	в нем	9	3
134	это было	3	3
135	из них	6	3
136	то и	6	3
137	с одной	7	3
138	должно быть	5	3
139	друг друга	3	3
140	и на	3	3
141	с этим	6	3
142	мы уже	2	3
143	тем что	7	3
144	есть еще	3	3
145	только тогда	9	3
146	в силу	3	3
147	на то	2	3
148	все что	4	3
149	есть ни	4	3
150	ни о	3	3
151	и о	2	3
152	не будет	3	3
153	как бы	3	3
154	или же	4	3
155	если не	4	3
156	тем самым	7	3
157	для того	4	3
158	к нему	3	3
159	той же	2	3
160	в слове	32	3
161	в каком	5	3
162	не знает	3	3
163	зависит от	6	2
164	из этих	9	2
165	точно так	12	2
166	показывает что	2	2
167	из того	2	2
168	в смысле	4	2
169	то тем	3	2
170	оно есть	3	2
171	для нас	20	2
172	еще не	5	2
173	не можем	3	2
174	при этом	3	2
175	несмотря на	2	2
176	и если	2	2
177	например в	6	2
178	и следовательно	3	2
179	у меня	2	2
180	себя и	4	2
181	так или	2	2
182	и тем	5	2
183	не говоря	3	2
184	другой стороны	4	2
185	целый ряд	2	2
186	быть не	2	2
187	именно в	3	2
188	понятия и	2	2
189	без слова	3	2
190	и по	4	2
191	а в	12	2
192	же и	3	2
193	быть только	4	2
194	в мысли	2	2
195	людей и	2	2
196	никак не	3	2
197	их в	2	2
198	в ней	8	2
199	для себя	3	2
200	в первом	3	2
201	бы быть	2	2
202	и потому	4	2
203	иметь в	2	2
204	тогда и	3	2
205	когда мы	2	2
206	бы в	2	2
207	слово в	4	2
208	нет ни	2	2
209	я и	3	2
210	этого не	3	2
211	у него	2	2
212	перестает быть	4	2
213	на котором	2	2
214	в их	2	2
215	в понятии	2	2
216	думать что	5	2
217	же в	2	2
218	но как	2	2
219	только потому	3	2
220	но не	7	2
221	или есть	2	2
222	никто не	3	2
223	со стороны	3	2
224	в природе	2	2
225	природы и	2	2
226	так в	2	2
227	все равно	4	2
228	как мы	7	2
229	только от	3	2
230	я думаю	2	2
231	или в	3	2
232	из себя	2	2
233	которое не	2	2
234	могут быть	3	2
235	по которому	5	2
236	в себе	16	2
237	и вообще	3	2
238	души и	2	2
239	в его	4	2
