N	2gram	Bakhtin_sl_2	FransuaR
1	и в	39	49
2	то есть	26	32
3	прежде всего	8	19
4	в его	7	18
5	не только	24	17
6	и его	33	17
7	и на	4	17
8	и не	22	15
9	в этом	16	15
10	в них	6	13
11	только в	5	13
12	но и	21	13
13	как и	6	11
14	как бы	7	11
15	и т.п	2	11
16	в xvii	2	10
17	вовсе не	10	10
18	все это	16	9
19	в романе	46	9
20	для него	7	9
21	xvii века	2	9
22	и др	4	9
23	в нем	19	9
24	во франции	2	8
25	в сущности	6	8
26	отношение к	4	8
27	все же	6	7
28	один из	5	7
29	жизни и	6	7
30	не может	20	7
31	таким образом	8	7
32	то же	4	7
33	все эти	6	7
34	как мы	7	7
35	на протяжении	2	7
36	именно в	2	6
37	то что	2	6
38	в истории	11	6
39	в себя	2	6
40	же время	4	6
41	здесь в	3	6
42	мы уже	2	6
43	во всех	12	6
44	так и	15	6
45	рядом с	3	6
46	с их	3	6
47	сказать что	3	6
48	и с	9	6
49	но он	2	6
50	точки зрения	8	6
51	в то	4	6
52	так как	4	6
53	с его	7	5
54	никогда не	7	5
55	в своем	6	5
56	уже в	2	5
57	но не	6	5
58	при этом	7	5
59	может быть	37	5
60	в основном	4	5
61	и потому	7	5
62	в особенности	3	5
63	с точки	3	5
64	роль в	2	5
65	и более	2	4
66	с другой	5	4
67	и к	6	4
68	в себе	2	4
69	том что	5	4
70	но все	5	4
71	одна из	4	4
72	и чисто	2	4
73	в этих	7	4
74	значение в	2	4
75	сих пор	2	4
76	до сих	2	4
77	в форме	2	4
78	отношения к	4	4
79	не было	2	4
80	а в	4	4
81	лишь в	3	4
82	в области	2	4
83	там где	6	4
84	с ним	7	4
85	но в	6	4
86	например у	2	3
87	всех этих	4	3
88	с одной	5	3
89	жизни в	2	3
90	но здесь	4	3
91	в одном	2	3
92	человека и	3	3
93	не был	2	3
94	в собственном	3	3
95	что он	2	3
96	людей с	2	3
97	в том	5	3
98	во всем	4	3
99	в значительной	6	3
100	одной стороны	5	3
101	наконец в	4	3
102	даже в	2	3
103	и особенно	2	3
104	точка зрения	2	3
105	с ее	2	3
106	мы видели	2	3
107	ни в	4	3
108	связан с	3	3
109	этом отношении	3	3
110	и все	5	3
111	и других	4	3
112	этого процесса	3	3
113	только с	2	3
114	менее всего	2	3
115	к нему	3	3
116	так в	2	3
117	также и	2	3
118	далеко не	2	3
119	о том	2	3
120	почти все	2	3
121	но прежде	2	3
122	в плане	5	3
123	смысла и	3	2
124	включает в	2	2
125	автора и	2	2
126	человек в	6	2
127	связи с	3	2
128	что в	3	2
129	еще слишком	2	2
130	на фоне	4	2
131	могут быть	7	2
132	за пределы	2	2
133	в нашем	2	2
134	точку зрения	3	2
135	зрения на	2	2
136	даже и	4	2
137	в смысле	4	2
138	xix века	4	2
139	в отношении	4	2
140	без всякого	2	2
141	это и	2	2
142	в дон-кихоте	2	2
143	в дальнейшем	2	2
144	но это	3	2
145	мы сказали	2	2
146	громадное значение	2	2
147	все что	2	2
148	связанные с	4	2
149	связано с	3	2
150	до конца	17	2
151	в пределах	13	2
152	еще не	7	2
153	и другие	2	2
154	со всеми	2	2
155	значительной степени	6	2
156	одним из	2	2
157	у него	3	2
158	в новое	4	2
159	хотя и	2	2
160	в ней	3	2
161	к ней	2	2
162	притом в	2	2
163	в него	7	2
164	эти формы	4	2
165	вместе с	2	2
166	собственном смысле	3	2
167	в их	2	2
168	смысл и	2	2
169	в связи	2	2
170	того как	2	2
171	на материале	2	2
172	именно на	2	2
173	того чтобы	2	2
174	и интерпретации	3	2
175	и даже	7	2
176	мы наблюдаем	2	2
177	особенно в	2	2
178	меньше чем	2	2
179	во всяком	3	2
180	нуждается в	2	2
181	на его	2	2
182	еще раз	3	2
183	как к	3	2
184	в другом	2	2
185	здесь не	4	2
186	на мир	2	2
187	всяком случае	2	2
