N	2gram	Tiupa_Lite_1	Problemy
1	и не	12	31
2	и в	8	29
3	в его	7	24
4	может быть	13	24
5	а не	16	22
6	в этом	12	22
7	как бы	7	19
8	в нем	2	19
9	точки зрения	6	19
10	для него	2	18
11	у достоевского	2	16
12	не только	24	15
13	то что	10	15
14	не как	4	14
15	но и	17	14
16	и его	4	14
17	то же	5	14
18	в пределах	3	13
19	уже не	7	13
20	с точки	2	13
21	как и	6	12
22	о себе	4	12
23	не может	5	12
24	таким образом	3	12
25	в самом	3	10
26	в то	5	10
27	только в	8	10
28	с его	5	9
29	это не	4	9
30	все же	4	9
31	но не	4	9
32	же время	5	9
33	все эти	2	9
34	в своем	11	8
35	что он	5	8
36	что в	3	8
37	отношению к	2	8
38	в своей	4	8
39	по отношению	3	8
40	потому что	3	8
41	в том	16	8
42	прежде всего	11	7
43	а как	2	7
44	том что	14	7
45	не в	8	7
46	за пределы	2	7
47	так и	4	7
48	а в	3	7
49	в себе	7	7
50	но в	3	7
51	в конце	4	6
52	в целом	8	6
53	несмотря на	3	6
54	одним из	5	6
55	как в	5	6
56	как раз	4	6
57	самом деле	2	6
58	в мире	2	6
59	могут быть	2	6
60	его в	3	6
61	должна быть	2	5
62	и др	3	5
63	было бы	2	5
64	еще не	4	5
65	в сущности	2	5
66	у него	3	5
67	той же	3	5
68	мир и	2	5
69	с их	3	5
70	во всяком	3	5
71	между тем	2	5
72	он и	3	5
73	мира в	3	5
74	перестает быть	4	4
75	превращается в	2	4
76	раз и	2	4
77	и самого	2	4
78	даже в	2	4
79	не на	2	4
80	не было	3	4
81	тем что	2	4
82	в основе	3	4
83	в авторском	2	4
84	в этой	4	4
85	уже в	5	3
86	от автора	2	3
87	я не	7	3
88	никогда не	4	3
89	с другой	3	3
90	нового времени	2	3
91	одна из	3	3
92	художественного творчества	3	3
93	о своем	2	3
94	сознание в	3	3
95	всяком случае	2	3
96	на почве	2	3
97	только то	2	3
98	в их	3	3
99	мир в	4	3
100	этом отношении	2	3
101	например в	3	3
102	в себя	2	3
103	приводит к	3	3
104	друг друга	4	3
105	тому как	2	3
106	в своих	4	3
107	героя с	2	3
108	подобно тому	2	3
109	как будто	2	3
110	далеко не	3	3
111	автора в	2	3
112	в художественном	4	3
113	жизни не	2	2
114	героя как	2	2
115	связи с	6	2
116	однако в	2	2
117	хотя бы	2	2
118	с этой	5	2
119	для своего	2	2
120	в жизни	6	2
121	человеческого духа	2	2
122	и нет	2	2
123	для понимания	2	2
124	чужого сознания	4	2
125	не есть	2	2
126	жизни и	3	2
127	же в	5	2
128	из его	2	2
129	при этом	19	2
130	на себя	2	2
131	своего времени	2	2
132	и сам	6	2
133	один из	3	2
134	данном случае	4	2
135	автора а	2	2
136	и вполне	2	2
137	то и	2	2
138	и даже	3	2
139	в кругозоре	2	2
140	а потому	2	2
141	к себе	3	2
142	можно было	2	2
143	в данном	5	2
144	то он	2	2
145	одно из	3	2
146	самим собою	2	2
147	для себя	5	2
148	и есть	3	2
149	его сознания	2	2
150	в россии	2	2
151	же и	3	2
152	в сознании	2	2
153	по преимуществу	4	2
