N	2gram	Bakhtin_Pr_1	Freidism
1	таким образом	10	24
2	и не	42	23
3	не может	27	20
4	точки зрения	8	19
5	прежде всего	13	18
6	и пр	2	15
7	в этом	15	15
8	в его	43	15
9	с помощью	7	14
10	мы можем	6	13
11	может быть	26	13
12	и его	16	12
13	как и	7	11
14	как бы	22	11
15	то что	8	11
16	все эти	5	11
17	с точки	6	11
18	и потому	4	10
19	так и	5	10
20	как мы	7	10
21	самом деле	6	10
22	его в	9	10
23	с ним	5	10
24	но в	4	10
25	с его	2	9
26	и в	38	9
27	во всех	11	9
28	по отношению	21	9
29	все что	3	8
30	что он	2	8
31	отношению к	19	8
32	еще не	7	8
33	в своей	7	8
34	он не	3	8
35	не только	9	8
36	все это	3	8
37	то же	5	8
38	только в	13	8
39	и все	3	8
40	ни в	11	7
41	к нему	10	7
42	отношение к	10	7
43	в самом	7	7
44	и наконец	6	7
45	сказать что	4	7
46	никогда не	5	6
47	вовсе не	2	6
48	и ее	2	6
49	за пределы	12	6
50	того что	2	6
51	в ней	4	6
52	совершенно не	7	6
53	хотя бы	4	6
54	и с	17	6
55	культурного творчества	3	5
56	и к	3	5
57	связь с	3	5
58	в свою	2	5
59	можно сказать	2	5
60	не в	7	5
61	в чем	2	5
62	в то	4	5
63	в большинстве	5	5
64	что в	7	5
65	но и	9	5
66	и прежде	5	5
67	на самом	4	5
68	в себя	2	5
69	для того	2	5
70	а в	6	5
71	и на	3	5
72	могут быть	5	5
73	мы должны	2	5
74	большинстве случаев	5	5
75	не менее	4	4
76	но не	12	4
77	я не	2	4
78	в котором	2	4
79	и др	8	4
80	в этих	2	4
81	то ни	3	4
82	в пределах	6	4
83	не дает	2	4
84	с другими	3	4
85	же время	3	4
86	на этом	2	4
87	смысле слова	2	4
88	при этом	5	4
89	другими словами	2	4
90	конечно не	5	4
91	и о	5	4
92	в основе	5	4
93	организма и	2	4
94	в нем	15	4
95	все же	6	4
96	данном случае	4	4
97	не было	2	4
98	между ними	4	4
99	того чтобы	2	4
100	и для	11	4
101	в таком	3	4
102	с ними	4	4
103	в данном	4	4
104	в более	4	4
105	себя и	3	4
106	говорить о	3	4
107	не могут	2	3
108	если бы	3	3
109	и есть	2	3
110	конечном счете	4	3
111	в них	5	3
112	от всех	4	3
113	и от	3	3
114	к себе	2	3
115	что все	2	3
116	в конечном	4	3
117	а только	2	3
118	в себе	4	3
119	войти в	2	3
120	и как	8	3
121	но это	3	3
122	со всеми	3	3
123	случае не	2	3
124	по поводу	2	3
125	она не	2	3
126	было бы	8	3
127	в психике	6	3
128	узком смысле	2	3
129	себя в	2	3
130	бы то	3	3
131	на него	3	3
132	где оно	2	3
133	приводит к	3	3
134	и содержание	3	3
135	и те	2	3
136	не знает	3	3
137	как в	4	3
138	чем не	2	3
139	всех своих	2	3
140	этой области	2	3
141	и что	2	3
142	можем сказать	2	3
143	мы имеем	2	3
144	в искусстве	12	3
145	может стать	3	3
146	слова и	3	3
147	и этим	6	3
148	одна из	2	3
149	подхода к	2	3
150	не является	3	3
151	художественной формы	9	2
152	или иное	2	2
153	человека в	2	2
154	его целом	5	2
155	и становится	7	2
156	и другие	2	2
157	что это	2	2
158	в нашем	4	2
159	в какой	2	2
160	с другой	7	2
161	это не	5	2
162	оно не	3	2
163	формы и	5	2
164	к этому	2	2
165	содержание и	2	2
166	для понимания	2	2
167	не можем	2	2
168	же самое	2	2
169	не нуждается	2	2
170	тем не	3	2
171	в ее	4	2
172	да и	3	2
173	ни было	3	2
174	том что	3	2
175	более того	4	2
176	высшей степени	5	2
177	сказать и	3	2
178	а не	5	2
179	не остается	2	2
180	в нашей	2	2
181	из важнейших	3	2
182	ли мы	3	2
183	одной стороны	3	2
184	так называемый	2	2
185	относится к	4	2
186	в него	2	2
187	в своем	5	2
188	на почве	3	2
189	для нее	8	2
190	точка зрения	3	2
191	все они	5	2
192	в их	10	2
193	отличается от	2	2
194	отношения к	6	2
195	которых мы	4	2
196	этом отношении	2	2
197	с одной	3	2
198	что оно	2	2
199	человека как	2	2
200	в отличие	5	2
201	должны быть	4	2
202	и у	2	2
203	в высшей	5	2
204	и даже	3	2
205	дает нам	2	2
206	рядом с	5	2
207	отличие от	5	2
208	на основе	6	2
209	в таких	2	2
210	значение для	3	2
211	мир в	2	2
212	здесь в	2	2
213	то или	2	2
214	нуждается в	2	2
215	можно сделать	2	2
216	они не	3	2
217	в своих	2	2
218	что и	2	2
219	и при	2	2
220	к его	2	2
221	но как	2	2
222	в другом	2	2
223	и вообще	2	2
224	все то	3	2
225	нами выше	2	2
226	как это	2	2
227	в области	11	2
228	оно может	2	2
229	в виду	4	2
