N	2gram	Medvedev_F_3	Komedia
1	и в	27	22
2	т е	32	13
3	том что	4	12
4	в том	7	11
5	но и	10	11
6	не только	9	10
7	из них	2	10
8	в то	7	10
9	как и	14	9
10	и т	11	9
11	может быть	25	9
12	таким образом	18	8
13	и не	30	8
14	и его	19	8
15	о том	4	8
16	в этой	2	7
17	что в	8	6
18	в отношении	2	6
19	в конце	3	6
20	что он	6	6
21	к тому	4	6
22	ни в	8	6
23	то же	15	6
24	не в	12	6
25	уже в	4	5
26	с другой	6	5
27	прежде всего	4	5
28	при этом	8	5
29	в его	7	5
30	еще в	3	5
31	в истории	5	5
32	так и	21	5
33	как в	4	5
34	все это	7	5
35	другой стороны	5	5
36	и даже	2	5
37	потому что	7	5
38	т п	5	5
39	между тем	7	5
40	к этому	2	4
41	ясно что	3	4
42	как мы	8	4
43	на протяжении	2	4
44	что они	5	4
45	же время	7	4
46	в котором	2	4
47	в нем	15	4
48	что и	2	4
49	так в	2	4
50	т д	6	4
51	тем что	5	4
52	в результате	5	4
53	действующих лиц	2	4
54	точки зрения	16	4
55	конце концов	2	4
56	так как	9	4
57	но в	6	4
58	мы можем	4	4
59	место в	10	3
60	же как	3	3
61	главным образом	2	3
62	не менее	7	3
63	однако в	2	3
64	в них	3	3
65	у нас	3	3
66	и как	4	3
67	одной из	2	3
68	да и	4	3
69	даже в	2	3
70	все же	6	3
71	отношению к	3	3
72	в целом	4	3
73	так же	9	3
74	по отношению	3	3
75	этом отношении	3	3
76	мы не	4	3
77	как раз	8	3
78	и на	3	3
79	за счет	2	3
80	в этом	18	3
81	и с	3	3
82	могут быть	4	3
83	и ее	6	3
84	только в	8	3
85	и все	8	3
86	его в	7	3
87	как это	4	3
88	ничего не	2	3
89	к которому	2	3
90	ни было	5	2
91	независимо от	5	2
92	для них	7	2
93	за пределы	2	2
94	то ни	4	2
95	столь же	3	2
96	здесь и	6	2
97	и во	2	2
98	и мир	2	2
99	и теперь	6	2
100	именно потому	2	2
101	на все	2	2
102	вовсе не	28	2
103	тем не	2	2
104	мы знаем	4	2
105	он был	4	2
106	мы видели	4	2
107	а к	2	2
108	такой же	2	2
109	одна из	2	2
110	на этом	2	2
111	но не	5	2
112	совсем не	5	2
113	именно на	2	2
114	того же	3	2
115	до конца	4	2
116	еще не	6	2
117	было бы	6	2
118	в действительности	9	2
119	и из	2	2
120	в самом	11	2
121	всяком случае	6	2
122	только один	2	2
123	и тем	3	2
124	с ее	2	2
125	то что	8	2
126	бы то	4	2
127	вместе с	6	2
128	ее в	3	2
129	со стороны	4	2
130	для этого	2	2
131	в сущности	2	2
132	не может	24	2
133	и притом	2	2
134	правда в	2	2
135	но это	2	2
136	не следует	3	2
137	и формы	5	2
138	во всяком	6	2
139	одну из	2	2
140	чем же	2	2
141	в своих	6	2
142	в себе	3	2
143	ту же	2	2
144	если они	2	2
145	же самое	3	2
146	отличие от	2	2
147	в области	2	2
