N	2gram	Tiupa_Lite_3	Komedia
1	и в	16	22
2	том что	8	12
3	в г	3	11
4	в том	12	11
5	но и	14	11
6	не только	14	10
7	из них	4	10
8	в то	9	10
9	как и	5	9
10	может быть	12	9
11	в одном	4	8
12	и не	22	8
13	и его	6	8
14	о том	6	8
15	едва ли	3	7
16	в этой	8	7
17	что в	2	6
18	в конце	2	6
19	одного из	2	6
20	что он	5	6
21	к тому	6	6
22	тому же	5	6
23	такого рода	10	6
24	то же	9	6
25	не в	10	6
26	а в	5	6
27	с другой	6	5
28	прежде всего	3	5
29	при этом	15	5
30	в его	6	5
31	еще в	3	5
32	один из	2	5
33	на его	3	5
34	так и	9	5
35	как в	5	5
36	другой стороны	2	5
37	и даже	2	5
38	потому что	3	5
39	между тем	3	5
40	именно в	5	4
41	к этому	2	4
42	несмотря на	2	4
43	как мы	2	4
44	же в	2	4
45	в другом	6	4
46	в качестве	5	4
47	же время	7	4
48	а также	4	4
49	в нем	2	4
50	что и	2	4
51	тем что	2	4
52	и вот	2	4
53	точки зрения	7	4
54	одном из	2	4
55	но в	3	4
56	место в	4	3
57	не менее	2	3
58	все более	2	3
59	однако в	4	3
60	и одновременно	2	3
61	вопрос о	2	3
62	на то	2	3
63	у нас	2	3
64	и как	3	3
65	х годов	15	3
66	перед лицом	4	3
67	одной стороны	4	3
68	и сам	2	3
69	во второй	2	3
70	в начале	4	3
71	в частности	11	3
72	хотя и	4	3
73	даже в	4	3
74	все же	2	3
75	отношению к	4	3
76	в целом	5	3
77	отношение к	2	3
78	так же	2	3
79	по отношению	4	3
80	этом отношении	5	3
81	с одной	4	3
82	в году	5	3
83	как раз	2	3
84	и на	2	3
85	в этом	14	3
86	и с	2	3
87	и ее	2	3
88	только в	7	3
89	его в	2	3
90	как это	3	3
91	в противоположность	2	2
92	в рамках	4	2
93	ни было	2	2
94	еще и	2	2
95	то ни	2	2
96	первой половине	2	2
97	в свою	2	2
98	раз в	2	2
99	но не	4	2
100	того же	2	2
101	до конца	4	2
102	еще не	6	2
103	было бы	2	2
104	в самом	3	2
105	художественного мышления	6	2
106	для себя	2	2
107	говоря уже	4	2
108	и тем	3	2
109	с ее	3	2
110	то что	12	2
111	бы то	2	2
112	в первой	2	2
113	вместе с	5	2
114	не говоря	4	2
115	ее в	2	2
116	со стороны	7	2
117	вслед за	3	2
118	не может	8	2
119	что у	2	2
120	в принципе	2	2
121	право на	2	2
122	на себя	2	2
123	в своих	2	2
124	в себе	6	2
125	по своей	3	2
126	как будто	4	2
127	же самое	2	2
128	уже о	3	2
129	отличие от	5	2
130	в области	3	2
