N	2gram	Tiupa_Disk_2	Istorich
1	что он	2	24
2	не только	10	18
3	может быть	16	17
4	никогда не	2	15
5	и в	16	15
6	мы имеем	2	15
7	но и	11	14
8	что в	5	12
9	а в	2	12
10	то что	5	12
11	в этих	3	11
12	и не	15	11
13	в этом	16	11
14	его в	3	10
15	то же	6	10
16	еще не	6	9
17	все же	6	9
18	в другом	3	9
19	потому что	4	9
20	он не	3	8
21	том что	10	7
22	в нем	7	7
23	вместе с	2	7
24	не в	3	7
25	в его	3	6
26	как бы	4	6
27	что и	2	6
28	в том	8	6
29	только в	3	6
30	но в	11	6
31	прежде всего	7	5
32	в одном	4	5
33	этом случае	2	5
34	как в	8	5
35	же как	2	5
36	в котором	3	5
37	так и	9	5
38	не может	9	5
39	а не	14	5
40	и наконец	3	5
41	в русской	3	5
42	представляет собой	11	5
43	с одной	4	4
44	а потом	2	4
45	но это	3	4
46	в этой	4	4
47	при этом	17	4
48	в ней	2	4
49	и с	2	4
50	и на	5	4
51	в себе	19	4
52	все эти	3	4
53	в качестве	16	3
54	и его	3	3
55	из этих	3	3
56	одной стороны	4	3
57	о том	4	3
58	отношению к	4	3
59	все это	2	3
60	по отношению	4	3
61	в себя	2	3
62	роль в	4	3
63	тому как	2	3
64	подобно тому	2	3
65	как будто	3	3
66	и это	2	3
67	не было	3	2
68	могут быть	3	2
69	перед нами	3	2
70	с другой	5	2
71	это не	3	2
72	не столько	3	2
73	не знает	3	2
74	ни в	7	2
75	именно в	2	2
76	как и	16	2
77	такой же	2	2
78	является не	2	2
79	не знают	3	2
80	но не	7	2
81	одно из	4	2
82	здесь в	3	2
83	и может	3	2
84	например в	3	2
85	и для	2	2
86	а также	8	2
87	с ее	2	2
88	принадлежит к	3	2
89	из них	3	2
90	приводит к	3	2
91	другой стороны	2	2
92	той же	2	2
93	а с	5	2
94	живет в	2	2
95	человека в	4	2
96	тут же	2	2
97	тем самым	6	2
98	и то	4	2
99	состоит в	16	2
100	и ее	3	2
101	здесь не	2	2
102	их в	2	2
