N	2gram	Vinokur_St_2	Freidism
1	таким образом	10	24
2	и не	9	23
3	не может	2	20
4	точки зрения	5	19
5	прежде всего	5	18
6	и пр	8	15
7	в этом	21	15
8	в его	13	15
9	может быть	2	13
10	и его	6	12
11	как и	2	11
12	как бы	5	11
13	то что	11	11
14	все эти	2	11
15	с точки	2	11
16	и потому	2	10
17	так и	9	10
18	самом деле	3	10
19	его в	2	10
20	но в	8	10
21	с его	2	9
22	и в	29	9
23	что он	13	8
24	в своей	7	8
25	он не	9	8
26	не только	19	8
27	все это	11	8
28	то же	2	8
29	только в	2	8
30	так как	2	8
31	ни в	3	7
32	во всяком	3	7
33	в самом	7	7
34	сказать что	2	7
35	всяком случае	3	7
36	никогда не	3	6
37	вовсе не	6	6
38	для него	4	6
39	того что	5	6
40	в ней	7	6
41	совершенно не	2	6
42	хотя бы	3	6
43	и с	4	6
44	и к	4	5
45	связь с	2	5
46	в период	2	5
47	не в	4	5
48	в этой	2	5
49	в то	2	5
50	что такое	2	5
51	что в	19	5
52	но и	19	5
53	на самом	3	5
54	для того	7	5
55	и на	6	5
56	с этим	3	5
57	в каком	2	5
58	не менее	3	4
59	но не	3	4
60	я не	7	4
61	в котором	7	4
62	и др	2	4
63	в этих	3	4
64	то ни	2	4
65	не дает	2	4
66	к тому	10	4
67	об этом	6	4
68	при этом	2	4
69	и о	4	4
70	как раз	8	4
71	в нем	4	4
72	все же	6	4
73	нигде не	2	4
74	не было	3	4
75	того чтобы	6	4
76	с самого	3	4
77	в которой	11	4
78	в данном	2	4
79	этот вопрос	2	4
80	потому что	9	4
81	во время	2	4
82	самого начала	3	3
83	если бы	2	3
84	тому что	7	3
85	в них	2	3
86	на себя	3	3
87	конечно в	2	3
88	в себе	2	3
89	он был	2	3
90	и как	2	3
91	но это	3	3
92	по своему	2	3
93	случае не	2	3
94	по поводу	8	3
95	было бы	5	3
96	в общем	3	3
97	ее в	2	3
98	нет никакого	2	3
99	бы то	2	3
100	вместе с	7	3
101	со стороны	2	3
102	и те	2	3
103	как в	3	3
104	и что	6	3
105	на этот	2	3
106	и по	3	3
107	не является	3	3
108	борьбы с	3	2
109	в отношении	2	2
110	на всем	2	2
111	но все	7	2
112	только не	2	2
113	и другие	2	2
114	что это	3	2
115	в какой	2	2
116	того же	2	2
117	с другой	4	2
118	оно не	3	2
119	в конце	2	2
120	и теперь	2	2
121	к этому	4	2
122	только о	2	2
123	тем не	2	2
124	в ее	2	2
125	до конца	3	2
126	ни было	2	2
127	том что	27	2
128	чем он	2	2
129	а не	5	2
130	что с	2	2
131	из них	3	2
132	похоже на	3	2
133	в процессе	2	2
134	в своем	9	2
135	на почве	2	2
136	выражение в	2	2
137	дело не	2	2
138	сих пор	5	2
139	в их	3	2
140	для своего	2	2
141	а с	3	2
142	этом отношении	9	2
143	в отличие	2	2
144	не приходится	4	2
145	свое выражение	2	2
146	тем же	2	2
147	и даже	3	2
148	так же	3	2
149	как на	9	2
150	отличие от	2	2
151	они не	2	2
152	из этой	2	2
153	что и	2	2
154	в другом	4	2
155	и вообще	2	2
156	при помощи	4	2
157	до сих	6	2
158	только с	2	2
159	как это	2	2
160	в области	2	2
161	в эту	3	2
162	в виду	7	2
163	это было	2	2
