N	2gram	Savitsky_P_1	KFilosof
1	может быть	5	43
2	в его	2	39
3	в нем	3	31
4	не может	4	27
5	и не	12	26
6	и в	14	22
7	в котором	4	21
8	в себе	3	21
9	в ее	2	17
10	а не	2	17
11	только в	7	16
12	точки зрения	3	13
13	в этом	10	13
14	но не	3	12
15	и это	2	12
16	не в	5	11
17	в своем	4	10
18	это не	3	10
19	все это	2	10
20	во всех	2	10
21	с точки	3	10
22	и есть	2	9
23	но и	6	9
24	как бы	4	9
25	не было	2	8
26	если бы	4	8
27	было бы	6	8
28	со стороны	2	8
29	то что	4	7
30	в смысле	6	6
31	в том	9	6
32	в мире	2	6
33	отнюдь не	2	6
34	хотя бы	8	5
35	то же	9	5
36	именно в	2	5
37	должно быть	2	5
38	но в	9	5
39	не только	17	5
40	что в	4	4
41	для нас	2	4
42	с ними	3	4
43	между тем	3	4
44	том что	4	4
45	во всей	2	4
46	а в	4	4
47	тем самым	3	4
48	не менее	2	3
49	и пр	5	3
50	и тем	2	3
51	того что	2	3
52	в ней	6	3
53	в то	7	3
54	мы не	3	3
55	для того	3	3
56	к чему	2	3
57	могут быть	3	3
58	прежде всего	3	2
59	и как	3	2
60	же время	7	2
61	и мы	2	2
62	знать что	2	2
63	не о	2	2
64	по себе	4	2
65	и других	2	2
66	потому что	3	2
67	говорить о	2	2
68	я и	3	2
69	с тем	3	2
70	в жизни	2	2
71	думать что	2	2
72	только это	2	2
73	в качестве	9	2
74	не нужно	2	2
75	тот же	3	2
76	и потому	4	2
77	в виде	2	2
78	еще более	2	2
79	сводится к	3	2
80	отношении к	5	2
81	в области	11	2
