N	2gram	Trubetskoy_1	Hudozhes
1	в мире	5	23
2	в качестве	3	19
3	то есть	4	18
4	состоит в	2	16
5	и не	8	16
6	в том	11	15
7	и в	26	15
8	не только	10	15
9	может быть	10	13
10	при этом	3	12
11	а в	4	12
12	но не	8	11
13	в этом	15	11
14	в себе	6	11
15	представляет собой	3	10
16	как бы	12	10
17	отношению к	3	10
18	но и	9	10
19	так и	6	10
20	то же	4	10
21	а не	5	10
22	в его	5	9
23	точки зрения	13	9
24	в рамках	3	8
25	с другой	8	7
26	или иной	2	7
27	в то	4	7
28	но в	7	7
29	с его	2	6
30	что в	9	6
31	том что	7	6
32	не в	2	6
33	же время	2	6
34	отношение к	5	6
35	приводит к	2	6
36	не может	4	6
37	по своей	2	6
38	можно сказать	3	5
39	а также	2	5
40	только в	4	5
41	в самом	4	5
42	того что	3	5
43	той или	2	5
44	в нем	4	5
45	то что	7	5
46	или менее	5	5
47	уже не	3	5
48	более или	5	5
49	в этих	4	4
50	прежде всего	2	4
51	к тому	6	4
52	и как	3	4
53	для него	3	4
54	еще не	2	4
55	он не	4	4
56	сказать что	2	4
57	между тем	2	4
58	мы имеем	2	4
59	и т.д	6	4
60	к которому	2	4
61	не менее	3	3
62	если бы	3	3
63	в отношении	6	3
64	что он	4	3
65	и к	5	3
66	к его	2	3
67	тем не	3	3
68	по своему	2	3
69	того же	6	3
70	в свою	2	3
71	далеко не	4	3
72	к нему	7	3
73	таким образом	22	3
74	лишь в	5	3
75	и что	4	3
76	с точки	6	3
77	и для	5	3
78	в таком	3	3
79	потому что	7	3
80	в которой	3	3
81	в области	9	3
82	в виду	2	3
83	том числе	5	2
84	из которого	3	2
85	так или	3	2
86	числе и	4	2
87	в своем	3	2
88	в них	2	2
89	превращается в	2	2
90	и особенно	2	2
91	не как	2	2
92	в одном	3	2
93	совершенно иной	2	2
94	без остатка	2	2
95	в значительной	3	2
96	одной стороны	7	2
97	случае не	3	2
98	несмотря на	6	2
99	во всех	2	2
100	и о	3	2
101	одной из	5	2
102	и потому	6	2
103	не вполне	3	2
104	к жизни	5	2
105	не могло	2	2
106	а с	7	2
107	с одной	7	2
108	именно в	2	2
109	все эти	6	2
110	того чтобы	5	2
111	для того	5	2
112	и больше	2	2
113	из которых	4	2
114	и по	4	2
115	так же	5	2
116	либо в	2	2
117	или иначе	3	2
118	с другими	4	2
119	и на	2	2
120	в силу	5	2
121	одно из	2	2
122	начиная с	2	2
123	в этой	4	2
124	о том	6	2
125	и это	2	2
126	из этого	2	2
