N	2gram	Nazirov_Tv_2	Hudozhes
1	том что	4	16
2	и в	20	14
3	так и	6	13
4	а не	6	12
5	в том	8	12
6	не только	13	12
7	при этом	8	12
8	о том	5	12
9	прежде всего	8	11
10	и т	13	11
11	в этом	8	11
12	в себе	3	11
13	в рассказе	3	11
14	для него	3	10
15	в своей	6	10
16	у него	6	9
17	что он	6	9
18	как и	6	9
19	то же	7	9
20	как в	4	8
21	то что	3	8
22	же время	7	8
23	отношению к	3	8
24	по отношению	3	8
25	т п	2	8
26	между тем	3	8
27	в этой	5	8
28	в то	10	8
29	в его	10	8
30	ничего не	4	8
31	быть может	3	7
32	казалось бы	3	7
33	это не	7	7
34	личности в	2	7
35	уже не	3	7
36	не в	4	7
37	еще не	5	7
38	своего рода	3	7
39	как бы	11	7
40	не может	7	7
41	именно в	6	7
42	а в	4	7
43	не случайно	2	7
44	тогда как	3	7
45	никогда не	11	6
46	что в	7	6
47	читателя в	5	6
48	в первой	2	6
49	жизни в	3	6
50	человека в	3	6
51	как правило	2	6
52	не менее	2	5
53	к жизни	2	5
54	в частности	2	5
55	об этом	4	5
56	может быть	8	5
57	только в	2	5
58	и он	2	5
59	но и	8	5
60	по мнению	3	5
61	самом деле	2	5
62	друг друга	2	5
63	и его	9	5
64	потому что	7	5
65	героя и	2	5
66	но в	4	5
67	и от	4	4
68	в духе	4	4
69	мы узнаем	2	4
70	в самом	3	4
71	один из	3	4
72	что она	4	4
73	себя в	2	4
74	из них	2	4
75	не было	2	4
76	он не	3	4
77	в русской	2	4
78	в конце	6	4
79	и это	3	4
80	с ним	3	4
81	и с	8	4
82	но не	5	3
83	в творческом	5	3
84	если бы	4	3
85	отнюдь не	4	3
86	что у	4	3
87	превращается в	3	3
88	в лице	4	3
89	в литературе	2	3
90	в мире	5	3
91	в ее	2	3
92	говорить о	2	3
93	ф м	3	3
94	по преимуществу	2	3
95	в нем	3	3
96	все же	5	3
97	приводит к	2	3
98	т д	11	3
99	все эти	4	3
100	характера в	2	3
101	и даже	5	3
102	и по	2	3
103	в таком	3	3
104	в своих	3	3
105	из нас	2	3
106	м м	11	3
107	тем что	3	3
108	такой же	2	3
109	и на	5	3
110	его в	3	3
111	в творчестве	5	3
112	едва ли	2	3
113	ни к	2	2
114	так в	2	2
115	по нашему	4	2
116	и м	2	2
117	не означает	2	2
118	м бахтин	4	2
119	не столько	2	2
120	в одной	3	2
121	о человеке	2	2
122	и потому	4	2
123	своих героев	3	2
124	в такой	2	2
125	наш взгляд	2	2
126	что на	2	2
127	так что	2	2
128	же как	3	2
129	одна из	3	2
130	и что	2	2
131	в целом	6	2
132	у нее	3	2
133	одной из	3	2
134	например в	5	2
135	на его	4	2
136	в начале	3	2
137	в произведениях	2	2
138	хотя и	4	2
139	на стороне	4	2
140	характера и	3	2
141	только для	2	2
142	сих пор	3	2
143	на него	2	2
144	как по	2	2
145	в их	3	2
146	все это	6	2
147	а а	4	2
148	особенно в	2	2
149	а с	3	2
150	и не	9	2
151	там же	9	2
152	в бытовой	6	2
153	на наш	2	2
154	героя в	4	2
155	что не	3	2
156	с ними	2	2
157	с этой	3	2
158	действующих лиц	2	2
159	что я	2	2
160	с другим	2	2
161	начинается с	2	2
162	нет ничего	3	2
163	так сказать	2	2
164	б м	2	2
165	характер в	2	2
166	это прежде	2	2
167	в литературном	2	2
168	и поэтому	2	2
169	мы не	4	2
170	до сих	3	2
