N	3gram	Losev_Dial_1	Psycholo
1	в том что	7	12
2	о том что	2	10
3	на то что	4	6
4	что в нем	3	5
5	на самом деле	2	5
6	к тому что	2	5
7	с точки зрения	12	4
8	что он не	2	4
9	можно было бы	4	4
10	и в этом	3	3
11	точно так же	2	3
12	и т п	2	3
13	во всяком случае	2	3
14	в конце концов	3	3
15	это и есть	2	3
16	сама по себе	8	3
17	с одной стороны	2	3
18	до сих пор	2	3
19	так как она	4	3
20	одна и та	2	2
21	в нем нет	3	2
22	потому что он	3	2
23	сам по себе	6	2
24	по себе и	2	2
25	и т д	19	2
26	как она есть	3	2
27	и та же	2	2
28	с другой стороны	4	2
29	и в частности	2	2
