N	2gram	Losev_Dial_4	Komedia
1	и в	15	22
2	и не	30	21
3	т е	46	16
4	том что	10	13
5	в том	11	12
6	таким образом	5	12
7	со стороны	3	11
8	так как	14	11
9	ни в	8	10
10	потому что	10	10
11	в самом	2	9
12	вместе с	2	9
13	если бы	6	8
14	в своем	5	8
15	что он	7	8
16	в его	4	8
17	что и	6	8
18	в этом	11	8
19	о том	5	8
20	об этом	3	7
21	при этом	2	7
22	в свою	3	7
23	то же	9	7
24	не по	2	7
25	только что	2	7
26	едва ли	3	7
27	к этому	3	6
28	ясно что	11	6
29	свою очередь	2	6
30	еще не	4	6
31	для того	5	6
32	может быть	17	6
33	как раз	4	6
34	и что	9	6
35	того чтобы	5	6
36	так что	6	6
37	и его	7	6
38	в то	6	6
39	не менее	2	5
40	что в	7	5
41	же время	6	5
42	прежде всего	11	5
43	как это	2	5
44	хотя и	6	5
45	не только	8	5
46	в своей	3	5
47	из них	2	5
48	все это	9	5
49	тем что	2	5
50	с ним	3	5
51	но в	3	5
52	с тем	4	4
53	но все	2	4
54	отнюдь не	4	4
55	однако в	2	4
56	вовсе не	6	4
57	нет и	2	4
58	все же	2	4
59	не в	8	4
60	не дает	2	4
61	в ней	5	4
62	тем более	6	4
63	и т	17	4
64	то что	16	4
65	когда он	3	4
66	но и	4	4
67	что она	5	4
68	в отношении	2	4
69	а не	18	4
70	и для	5	4
71	так же	4	4
72	точки зрения	14	4
73	в себе	8	4
74	бы в	4	4
75	так и	5	4
76	хотя бы	4	4
77	и с	4	4
78	с его	5	3
79	прежде чем	2	3
80	от нее	3	3
81	в частности	2	3
82	никогда не	2	3
83	в них	2	3
84	то ни	4	3
85	с этой	2	3
86	с этим	3	3
87	в нем	5	3
88	на то	5	3
89	нисколько не	2	3
90	тем не	2	3
91	в ее	2	3
92	как и	7	3
93	в этой	4	3
94	все что	2	3
95	было бы	9	3
96	и мы	7	3
97	конечно не	2	3
98	как бы	14	3
99	один из	4	3
100	даже не	2	3
101	не может	11	3
102	в течение	4	3
103	все равно	2	3
104	что не	3	3
105	с точки	9	3
106	и даже	6	3
107	не имеет	14	3
108	одной из	2	3
109	мы можем	3	3
110	во всяком	2	3
111	не о	4	3
112	но если	5	3
113	говорить о	11	3
114	в которой	2	3
115	ничего не	17	3
116	том как	2	3
117	в основе	10	2
118	только для	3	2
119	не мешает	2	2
120	себя и	3	2
121	в качестве	2	2
122	и без	2	2
123	сравнению с	2	2
124	не как	4	2
125	как в	3	2
126	не будет	2	2
127	это не	12	2
128	равно как	2	2
129	и все	11	2
130	в одном	4	2
131	человека и	2	2
132	представление о	2	2
133	не могут	2	2
134	а как	2	2
135	если мы	5	2
136	к своему	2	2
137	без всякого	2	2
138	отличие от	2	2
139	в силу	4	2
140	что они	4	2
141	она не	4	2
142	что с	2	2
143	не мог	2	2
144	и если	3	2
145	совершенно не	3	2
146	в сущности	5	2
147	за пределы	3	2
148	и о	8	2
149	от того	2	2
150	в свое	2	2
151	в котором	2	2
152	был бы	2	2
153	по сравнению	2	2
154	во всех	2	2
155	на основании	3	2
156	в их	3	2
157	другой стороны	2	2
158	бы не	2	2
159	отношения к	3	2
160	не было	2	2
161	мы не	9	2
162	из которых	3	2
163	или иначе	2	2
164	и на	5	2
165	я говорю	2	2
166	в результате	6	2
167	и во	2	2
168	и ее	8	2
169	нет ни	3	2
170	что мы	7	2
171	е в	2	2
172	и это	8	2
173	нет ничего	6	2
174	что эта	2	2
175	в области	3	2
176	в виду	9	2
