N	2gram	Bakhtin_Fr_7	Psycholo
1	то что	8	37
2	и в	41	30
3	в том	11	27
4	что в	9	24
5	потому что	5	23
6	том что	4	21
7	все время	2	20
8	таким образом	19	20
9	как бы	7	19
10	что он	3	17
11	не только	5	16
12	в этом	15	14
13	так же	5	13
14	то есть	20	13
15	в сущности	4	12
16	вместе с	5	12
17	может быть	4	11
18	о том	6	10
19	никогда не	2	9
20	не может	3	9
21	и то	2	9
22	так как	3	9
23	что это	4	8
24	мы имеем	2	8
25	к тому	2	8
26	не в	9	8
27	а не	2	8
28	при этом	3	8
29	того что	2	8
30	мы видим	6	8
31	и это	5	8
32	в нем	7	7
33	и как	2	7
34	то же	13	7
35	точки зрения	5	7
36	уже в	5	6
37	в своем	9	6
38	именно в	2	6
39	как и	14	6
40	и для	5	6
41	но и	9	6
42	что все	2	6
43	и не	7	6
44	жизни и	3	6
45	говорит что	2	6
46	и его	9	6
47	или в	2	6
48	и здесь	4	6
49	тем что	3	6
50	мы уже	12	6
51	о котором	2	6
52	на этом	5	6
53	и есть	3	5
54	по этому	3	5
55	несмотря на	3	5
56	как мы	11	5
57	и потому	3	5
58	в этой	13	5
59	еще не	2	5
60	было бы	4	5
61	рядом с	4	5
62	в себе	11	5
63	но в	8	5
64	только в	6	5
65	бы в	2	5
66	в результате	2	4
67	и все	14	4
68	прежде всего	11	4
69	есть не	2	4
70	и к	5	4
71	в своей	3	4
72	в ней	5	4
73	в его	12	4
74	в них	7	4
75	не есть	2	4
76	только на	2	4
77	имеет дело	2	4
78	а в	5	4
79	мы найдем	3	4
80	из которых	2	4
81	на одном	5	4
82	в конце	8	4
83	в виду	4	4
84	и другие	3	3
85	у него	6	3
86	что у	3	3
87	в состоянии	2	3
88	это не	6	3
89	это в	3	3
90	к этому	5	3
91	вовсе не	7	3
92	одно и	2	3
93	остановимся на	2	3
94	с самого	2	3
95	одна из	4	3
96	в свою	3	3
97	для него	6	3
98	тот же	2	3
99	он не	4	3
100	он заставляет	2	3
101	что и	5	3
102	он только	2	3
103	ни в	6	3
104	так и	10	3
105	как в	5	3
106	и вся	3	3
107	в их	3	3
108	этом отношении	2	3
109	в той	3	3
110	и наконец	4	3
111	целый ряд	4	3
112	той же	3	3
113	мы не	2	3
114	можно было	3	3
115	человека в	2	3
116	но он	4	3
117	и на	4	3
118	в данном	2	3
119	в этих	2	3
120	мы сейчас	2	3
121	в каждой	2	3
122	в которой	2	3
123	из самых	3	2
124	перед нами	2	2
125	в отношении	3	2
126	с его	2	2
127	находит свое	2	2
128	что между	2	2
129	в одной	2	2
130	с этим	2	2
131	в одном	3	2
132	есть то	2	2
133	с помощью	6	2
134	дает ему	2	2
135	же в	2	2
136	он был	3	2
137	до конца	2	2
138	нас не	2	2
139	в романе	7	2
140	по существу	8	2
141	но все	4	2
142	того же	3	2
143	слов и	4	2
144	в образах	2	2
145	и эта	3	2
146	на том	2	2
147	в качестве	9	2
148	должен быть	2	2
149	образом и	2	2
150	из них	3	2
151	во всех	3	2
152	входят в	2	2
153	и до	6	2
154	в нее	3	2
155	в форме	3	2
156	к самому	2	2
157	в словах	2	2
158	находится в	2	2
159	все это	10	2
160	по отношению	2	2
161	что есть	2	2
162	того как	5	2
163	в течение	2	2
164	в себя	2	2
165	и вот	2	2
166	с точки	3	2
167	должно быть	4	2
168	ничего не	4	2
169	в которых	2	2
170	и с	4	2
171	и так	2	2
172	сейчас увидим	2	2
173	он дает	4	2
174	совсем не	3	2
175	в то	10	2
176	ту же	2	2
177	не знает	3	2
178	все то	3	2
179	том и	2	2
180	как он	2	2
181	все эти	13	2
182	дело в	2	2
183	конце концов	4	2
184	нет ни	2	2
185	смерти в	3	2
186	на самом	2	2
