N	2gram	Tiupa_Anal_3	Myshleni
1	и в	18	25
2	в том	9	23
3	том что	12	20
4	что в	9	17
5	таким образом	4	17
6	с тем	2	16
7	как и	14	15
8	то что	2	15
9	в его	7	15
10	в этом	14	14
11	вместе с	2	14
12	может быть	9	13
13	в целом	3	13
14	в качестве	12	12
15	по своему	2	11
16	могли бы	2	11
17	перед нами	4	10
18	что они	3	10
19	как бы	10	10
20	и не	12	10
21	было бы	3	10
22	что и	5	10
23	только в	2	10
24	как в	3	9
25	мы не	3	9
26	не является	5	8
27	тем что	2	8
28	уже в	3	7
29	столь же	4	7
30	все эти	2	7
31	что мы	2	7
32	как это	3	7
33	по себе	4	7
34	по своей	2	7
35	мы можем	2	7
36	не менее	4	6
37	с другой	7	6
38	как уже	2	6
39	не в	6	6
40	один из	2	6
41	не может	2	6
42	и на	4	6
43	что он	4	6
44	представляет собой	5	6
45	но не	7	6
46	того же	5	6
47	со всеми	2	6
48	не только	22	6
49	все же	4	6
50	в отличие	2	6
51	точки зрения	3	6
52	все это	3	6
53	отличие от	2	6
54	так и	14	5
55	именно в	3	5
56	тем не	2	5
57	и как	4	5
58	для него	6	5
59	одной стороны	2	5
60	при этом	11	5
61	что она	2	5
62	с одной	2	5
63	и по	2	5
64	с ее	3	5
65	и к	4	5
66	о том	6	5
67	как говорит	3	5
68	входит в	2	5
69	могут быть	2	5
70	в этой	6	5
71	и т.д	2	5
72	в частности	12	4
73	никогда не	5	4
74	в своем	4	4
75	из этих	3	4
76	прежде всего	5	4
77	к тому	6	4
78	не мог	2	4
79	всяком случае	2	4
80	отнюдь не	4	4
81	но и	13	4
82	не столько	3	4
83	а в	10	4
84	сказать что	2	4
85	в то	3	4
86	мы имеем	5	4
87	с этим	3	4
88	и все	2	4
89	и того	3	4
90	одного и	3	4
91	еще не	6	4
92	он не	6	4
93	приводит к	4	4
94	по пути	4	4
95	той же	5	4
96	во всяком	2	4
97	этого слова	2	4
98	там где	2	4
99	в себя	2	3
100	в свою	5	3
101	обе эти	2	3
102	и сам	4	3
103	в самом	5	3
104	если в	3	3
105	который в	3	3
106	другой стороны	5	3
107	по отношению	7	3
108	путь к	3	3
109	этом отношении	3	3
110	в результате	5	3
111	между тем	5	3
112	во всем	3	3
113	его в	3	3
114	были бы	3	3
115	в случае	5	3
116	не как	2	3
117	в жизни	2	3
118	состоит в	4	3
119	к этому	3	3
120	но как	3	3
121	то в	2	3
122	или иной	5	3
123	не есть	4	3
124	связь с	2	3
125	дело с	3	3
126	когда он	2	3
127	то же	3	2
128	все они	2	2
129	и от	2	2
130	одной и	2	2
131	в тех	2	2
132	свою очередь	4	2
133	имеем дело	4	2
134	такого рода	5	2
135	и той	2	2
136	хотя и	2	2
137	той или	3	2
138	в нем	2	2
139	уже по	2	2
140	поэтому в	2	2
141	на себя	2	2
142	на его	2	2
143	и здесь	2	2
144	в начале	6	2
145	лишь на	3	2
146	что по	4	2
147	но они	2	2
148	с его	8	2
149	к жизни	3	2
150	однако в	5	2
151	в них	2	2
152	этих моментов	2	2
153	в одном	4	2
154	с нею	2	2
155	говорит и	3	2
156	об этом	2	2
157	же в	2	2
158	одна из	2	2
159	указывает на	3	2
160	с их	3	2
161	иначе говоря	2	2
162	как показывает	2	2
163	и потому	2	2
164	а также	2	2
165	но всегда	2	2
166	отношению к	7	2
167	не будет	3	2
168	в мире	5	2
169	внимание на	4	2
170	уже не	5	2
171	в готовом	2	2
172	тем самым	4	2
173	едва ли	3	2
174	и для	2	2
175	и его	13	2
176	тому как	2	2
177	на пути	2	2
178	вступает в	3	2
179	в себе	2	2
