N	2gram	Voloshinov_1	Vladivir
1	и в	13	30
2	то что	6	20
3	в этом	2	20
4	в том	2	18
5	и не	8	18
6	том что	2	12
7	что в	3	12
8	не только	6	12
9	в его	7	11
10	а в	2	11
11	а также	2	10
12	не в	3	9
13	для него	2	9
14	было бы	4	9
15	все же	5	9
16	не может	8	9
17	но и	3	8
18	что же	3	8
19	в связи	2	8
20	не мог	2	8
21	но в	4	8
22	не менее	2	7
23	никогда не	3	7
24	точки зрения	7	7
25	и все	3	7
26	может быть	8	7
27	а не	2	7
28	еще и	4	6
29	прежде всего	9	6
30	и к	2	6
31	только в	6	6
32	в себе	3	6
33	и его	12	6
34	и то	3	5
35	как и	3	5
36	при этом	2	5
37	тот же	2	5
38	в своей	4	5
39	как бы	6	5
40	для себя	2	5
41	так и	3	5
42	все это	4	5
43	с этим	3	5
44	в течение	2	5
45	все эти	2	5
46	так как	3	5
47	с этой	2	4
48	вовсе не	2	4
49	в целом	2	4
50	несмотря на	2	4
51	в ней	2	4
52	в нем	2	4
53	то же	4	4
54	и наконец	5	4
55	так же	2	4
56	мы должны	6	4
57	в которой	3	4
58	учение о	2	3
59	уже в	2	3
60	в них	2	3
61	в отношении	2	3
62	хотя бы	5	3
63	да и	3	3
64	в данном	2	3
65	и для	3	3
66	с точки	5	3
67	как в	2	3
68	таким образом	6	3
69	только и	4	3
70	те же	2	3
71	здесь мы	3	3
72	наконец в	2	3
73	не столько	3	3
74	его на	2	3
75	нет ничего	2	3
76	в области	2	3
77	еще в	2	2
78	разумеется что	2	2
79	к тому	2	2
80	в общем	2	2
81	и может	2	2
82	кажется что	2	2
83	мы уже	2	2
84	в самом	2	2
85	не имеет	2	2
86	данном случае	2	2
87	в их	3	2
88	не на	2	2
89	собственно говоря	2	2
90	в двух	4	2
91	только его	2	2
92	в чем	2	2
93	в своих	2	2
94	и при	2	2
95	г в	3	2
96	мы не	4	2
