N	2gram	Voloshinov_1	Morfolog
1	может быть	8	52
2	и пр	7	40
3	таким образом	6	20
4	не может	8	17
5	могут быть	2	15
6	с этим	3	14
7	и в	13	13
8	в этом	2	13
9	и др	2	12
10	так как	3	12
11	мы видим	2	11
12	прежде всего	9	9
13	так и	3	9
14	в связи	2	9
15	то же	4	9
16	и не	8	9
17	а не	2	9
18	с другой	2	8
19	в тех	2	7
20	все же	5	7
21	в том	2	6
22	а также	2	6
23	а в	2	6
24	не менее	2	5
25	вслед за	2	5
26	как бы	6	5
27	то что	6	5
28	мы не	4	5
29	что в	3	4
30	вовсе не	2	4
31	отношению к	3	4
32	было бы	4	4
33	несмотря на	2	4
34	не только	6	4
35	как в	2	4
36	другой стороны	2	4
37	так же	2	4
38	по отношению	3	4
39	как и	3	4
40	там где	2	4
41	тем что	2	4
42	точки зрения	7	4
43	с точки	5	4
44	связана с	3	3
45	если бы	2	3
46	том что	2	3
47	что они	2	3
48	в целом	2	3
49	в пределах	3	3
50	не является	4	3
51	но и	3	3
52	входит в	2	3
53	самом деле	3	3
54	и для	3	3
55	мы можем	4	3
56	и ее	2	3
57	мы должны	6	3
58	героя и	2	3
59	но в	4	3
60	не сумеем	2	2
61	хотя бы	5	2
62	что эта	2	2
63	и к	2	2
64	и при	2	2
65	поставить вопрос	3	2
66	которое может	2	2
67	только в	6	2
68	смысле слова	2	2
69	для него	2	2
70	одной стороны	2	2
71	мы уже	2	2
72	но для	3	2
73	вопроса о	4	2
74	с одной	2	2
75	все эти	2	2
76	не имеет	2	2
77	и его	12	2
78	в другом	2	2
