N	2gram	Savitsky_E_1	Hudozhes
1	том что	6	16
2	и в	37	14
3	так и	10	13
4	а не	2	12
5	в том	11	12
6	не только	18	12
7	о том	3	12
8	прежде всего	9	11
9	в этом	12	11
10	в себе	9	11
11	в своей	8	10
12	как и	7	9
13	в качестве	14	9
14	то же	15	9
15	как в	3	8
16	то что	6	8
17	же время	14	8
18	между тем	8	8
19	в этой	2	8
20	в то	16	8
21	в его	2	8
22	к тому	8	7
23	не в	5	7
24	как бы	6	7
25	не может	9	7
26	именно в	4	7
27	а в	2	7
28	никогда не	3	6
29	что в	21	6
30	было бы	8	6
31	жизни в	3	6
32	в частности	5	5
33	в этих	2	5
34	может быть	6	5
35	только в	9	5
36	но и	14	5
37	во второй	3	5
38	жизни и	2	5
39	можно было	3	5
40	потому что	3	5
41	точки зрения	23	5
42	но в	14	5
43	в своем	14	4
44	т е	9	4
45	столь же	5	4
46	и от	3	4
47	и все	2	4
48	на то	6	4
49	можно сказать	4	4
50	и к	3	4
51	то в	4	4
52	она не	2	4
53	несмотря на	4	4
54	в самом	4	4
55	в ней	4	4
56	из них	3	4
57	того что	7	4
58	он не	2	4
59	по своей	2	4
60	как будто	2	4
61	всего лишь	3	4
62	и с	2	4
63	но не	5	3
64	если бы	2	3
65	отнюдь не	9	3
66	с этим	2	3
67	же в	2	3
68	идет о	3	3
69	в мире	2	3
70	как мы	5	3
71	в ее	8	3
72	по своему	7	3
73	в пределах	25	3
74	по преимуществу	2	3
75	даже в	4	3
76	со стороны	5	3
77	и для	3	3
78	этом отношении	3	3
79	она в	3	3
80	того чтобы	6	3
81	и даже	6	3
82	с точки	17	3
83	и по	5	3
84	в таком	3	3
85	в своих	2	3
86	тем что	3	3
87	такой же	2	3
88	и на	6	3
89	а также	7	3
90	если в	2	2
91	по нашему	3	2
92	не означает	2	2
93	и потому	5	2
94	вопрос о	4	2
95	или иного	4	2
96	по себе	4	2
97	что на	2	2
98	не нужно	2	2
99	или иную	3	2
100	же как	5	2
101	и что	2	2
102	как нам	5	2
103	ту или	3	2
104	участие в	2	2
105	в данной	3	2
106	одной из	5	2
107	хотя и	2	2
108	наше внимание	2	2
109	что же	2	2
110	но еще	2	2
111	в их	11	2
112	заключает в	3	2
113	также в	2	2
114	второй половине	2	2
115	влияние на	2	2
116	иначе говоря	2	2
117	с и	10	2
118	и не	14	2
119	но с	2	2
120	это так	3	2
121	в значительной	2	2
122	того или	4	2
123	не имеет	4	2
124	на основе	2	2
125	с этой	6	2
126	в результате	3	2
127	но как	2	2
128	заметить что	2	2
129	же мало	2	2
130	и поэтому	2	2
131	мы не	4	2
