N	2gram	Potebnia_M_1	Formalny
1	и в	39	24
2	в его	5	23
3	прежде всего	4	22
4	и не	18	20
5	так и	13	18
6	не может	22	16
7	точки зрения	8	16
8	в этом	15	15
9	в нем	20	14
10	может быть	27	14
11	с точки	3	13
12	таким образом	13	13
13	и т	6	12
14	в своем	3	11
15	не менее	6	11
16	как и	9	11
17	должно быть	7	11
18	в своей	3	11
19	в их	2	11
20	вовсе не	5	10
21	и их	3	10
22	то же	6	10
23	в ней	7	10
24	а не	21	10
25	и его	5	10
26	и потому	5	9
27	в то	4	9
28	же время	4	8
29	в свою	4	8
30	то что	10	8
31	как в	10	8
32	т д	4	8
33	не в	15	8
34	и с	3	8
35	должна быть	3	7
36	и от	3	7
37	в единстве	2	7
38	не только	21	7
39	с ее	2	7
40	жизни и	2	7
41	но и	20	7
42	и все	3	6
43	было бы	12	6
44	в том	26	6
45	в этой	3	6
46	свою очередь	4	6
47	она не	3	6
48	еще не	6	6
49	как бы	6	6
50	в целом	2	6
51	а в	5	6
52	что бы	2	5
53	хотя бы	2	5
54	по себе	10	5
55	бы ни	4	5
56	у нас	2	5
57	при этом	6	5
58	только на	3	5
59	не могло	3	5
60	во всех	5	5
61	в самом	3	5
62	со стороны	8	5
63	как мы	2	5
64	того что	8	5
65	должны быть	7	5
66	с другой	7	5
67	одним словом	2	5
68	но в	9	5
69	мы увидим	3	4
70	независимо от	6	4
71	никогда не	4	4
72	стороны и	2	4
73	в мире	3	4
74	для этого	2	4
75	одной стороны	3	4
76	и может	2	4
77	если бы	14	4
78	оно не	3	4
79	отношению к	13	4
80	при таком	4	4
81	так же	5	4
82	по отношению	13	4
83	т п	4	4
84	что в	22	4
85	с одной	3	4
86	друг друга	5	4
87	как на	3	4
88	в которой	2	4
89	не из	3	4
90	с этой	2	4
91	во всяком	3	4
92	в истории	7	4
93	познания и	2	4
94	к этой	3	4
95	но не	8	3
96	связи с	3	3
97	в них	3	3
98	то ни	3	3
99	он должен	2	3
100	в жизни	3	3
101	бы то	2	3
102	на все	2	3
103	это последнее	2	3
104	к тому	4	3
105	для него	4	3
106	и как	6	3
107	но это	5	3
108	в каждом	4	3
109	так например	3	3
110	на язык	7	3
111	не по	4	3
112	он не	3	3
113	оно должно	2	3
114	все же	6	3
115	же в	2	3
116	значение и	2	3
117	влияние на	2	3
118	или же	3	3
119	не было	4	3
120	и других	4	3
121	мы не	10	3
122	тем самым	4	3
123	и даже	4	3
124	как она	3	3
125	в себе	13	3
126	так сказать	2	3
127	думать что	3	3
128	бы в	4	3
129	говорит он	4	3
130	под влиянием	2	2
131	а как	2	2
132	сама по	3	2
133	нисколько не	2	2
134	прежде чем	3	2
135	в душе	11	2
136	ни были	3	2
137	и более	2	2
138	с тем	5	2
139	в другой	3	2
140	иначе как	2	2
141	его с	2	2
142	это не	7	2
143	и развития	2	2
144	с этим	7	2
145	в применении	2	2
146	в одном	8	2
147	вопрос о	4	2
148	вопрос об	3	2
149	не можем	2	2
150	а только	4	2
151	таким же	2	2
152	все в	2	2
153	ни было	2	2
154	в самой	3	2
155	уже не	2	2
156	мы видели	4	2
157	но все	2	2
158	более и	2	2
159	перейти к	2	2
160	если мы	3	2
161	только в	25	2
162	в действительности	4	2
163	и если	2	2
164	от друга	2	2
165	все более	3	2
166	к другим	2	2
167	от того	4	2
168	к ней	2	2
169	только не	2	2
170	за пределы	2	2
171	была бы	2	2
172	что и	6	2
173	не есть	10	2
174	друг от	2	2
175	на него	3	2
176	вместе с	8	2
177	для всякого	2	2
178	в создании	3	2
179	от нее	6	2
180	не могла	2	2
181	чтобы не	2	2
182	применении к	2	2
183	и что	10	2
184	ко всем	2	2
185	не так	3	2
186	следовательно и	2	2
187	между тем	5	2
188	даже и	2	2
189	в своих	4	2
190	к новому	2	2
191	к которому	3	2
192	могла бы	2	2
193	если же	5	2
194	и это	3	2
195	бы быть	4	2
196	во всем	4	2
197	с ним	3	2
198	и должно	2	2
199	мысли в	9	2
200	могло бы	3	2
201	совершенно справедливо	2	2
