N	2gram	Vinokur_Ku_2	Sotsiolo
1	все это	5	7
2	в том	19	5
3	в этом	18	5
4	не в	8	3
5	для нас	4	3
6	в его	5	3
7	и в	23	3
8	не только	20	3
9	еще не	5	2
10	было бы	15	2
11	как будто	2	2
12	только в	5	2
13	в конце	4	2
14	по существу	5	2
15	это и	3	2
16	таким образом	5	2
17	том что	11	2
18	то же	6	2
19	то что	9	2
20	главным образом	3	2
21	может быть	15	2
22	в результате	4	2
23	в частности	2	2
24	и что	8	2
25	но и	7	2
26	дело не	2	2
27	очевидно что	2	2
28	только как	2	2
29	как бы	4	2
30	должна быть	5	2
31	конце концов	3	2
32	что в	10	2
