N	2gram	Tiupa_Lite_2	Problemy
1	и в	19	35
2	как бы	2	31
3	и не	11	27
4	что он	3	24
5	в его	4	21
6	но в	2	19
7	не может	9	18
8	как и	10	18
9	о себе	3	17
10	в нем	3	16
11	то есть	5	16
12	то же	12	15
13	но и	10	14
14	для него	4	14
15	может быть	17	14
16	в сущности	3	14
17	и его	3	14
18	в этом	9	14
19	с другим	2	13
20	что я	2	13
21	он не	5	13
22	прежде всего	4	12
23	и с	3	12
24	и к	2	12
25	в другом	3	12
26	в то	9	11
27	слова и	7	11
28	не в	4	10
29	же время	9	10
30	не только	8	10
31	то что	7	10
32	я не	5	8
33	так и	7	8
34	себя и	2	8
35	потому что	2	8
36	все же	2	8
37	и для	3	8
38	и сам	2	7
39	а в	3	7
40	и наконец	2	7
41	точки зрения	4	7
42	с ним	2	7
43	вовсе не	2	7
44	еще не	2	7
45	себе и	3	7
46	для себя	2	7
47	отношению к	3	7
48	что в	4	6
49	в каждом	2	6
50	но это	3	6
51	и что	2	6
52	и на	6	6
53	не знает	2	6
54	в одном	2	6
55	но не	5	6
56	и т.п	10	6
57	по отношению	4	6
58	в конце	2	5
59	в том	10	5
60	так что	4	5
61	как к	3	5
62	и даже	8	5
63	он и	2	5
64	даже в	4	5
65	я все	3	5
66	к своему	2	5
67	героя в	2	5
68	и то	3	5
69	в себе	6	5
70	никогда не	3	4
71	с другой	8	4
72	в такой	2	4
73	в мире	9	4
74	до конца	2	4
75	но как	2	4
76	так как	3	4
77	у него	2	4
78	как раз	2	4
79	в них	2	4
80	тот же	2	4
81	наконец в	2	4
82	еще в	4	4
83	другого в	3	4
84	а не	20	4
85	что не	2	4
86	и без	2	4
87	тем что	4	4
88	я в	7	4
89	что ты	2	4
90	уже в	2	3
91	такой же	3	3
92	ни было	2	3
93	нет в	2	3
94	в него	2	3
95	в виду	2	3
96	с ее	2	3
97	в целом	2	3
98	из них	2	3
99	другой стороны	4	3
100	это как	2	3
101	но только	2	3
102	того что	5	3
103	даже и	2	3
104	в начале	3	3
105	себя как	2	3
106	с тем	2	3
107	в ее	2	3
108	том что	7	3
109	одно и	2	3
110	было бы	2	3
111	во всех	3	3
112	не могу	2	3
113	что и	2	3
114	уже не	2	3
115	и т.д	7	3
116	ничего не	3	3
117	не менее	6	2
118	надо мной	3	2
119	с тобой	5	2
120	для этого	2	2
121	столь же	5	2
122	с этой	2	2
123	на этом	2	2
124	при этом	6	2
125	тому как	2	2
126	каждый из	4	2
127	в ней	4	2
128	о том	2	2
129	как он	2	2
130	я и	4	2
131	обращается к	3	2
132	однако в	6	2
133	в жизни	2	2
134	мы с	3	2
135	слово не	2	2
136	а затем	2	2
137	то в	2	2
138	одной из	2	2
139	друг друга	2	2
140	но уже	2	2
141	себя в	6	2
142	своего рода	13	2
143	вместе с	5	2
144	так в	5	2
145	все равно	2	2
146	и он	3	2
147	и как	3	2
148	хотя бы	2	2
149	с точки	3	2
150	зависимость от	2	2
151	той же	2	2
152	не случайно	4	2
153	подобно тому	2	2
154	всей своей	3	2
155	в каждой	2	2
