N	2gram	Potebnia_M_4	Mirosoze
1	может быть	26	30
2	не только	10	29
3	и в	23	28
4	не может	11	28
5	человеческого духа	6	26
6	но и	11	25
7	а не	12	25
8	он не	2	24
9	о человеке	3	23
10	человеческой природы	2	20
11	в этом	23	20
12	не было	12	18
13	не в	11	16
14	потому что	33	16
15	в ней	2	15
16	и есть	3	14
17	никогда не	3	14
18	человека и	3	14
19	в нем	7	13
20	человека в	2	13
21	и это	2	12
22	для него	5	11
23	в самом	3	11
24	и не	18	11
25	что в	17	10
26	в своем	8	10
27	в мире	2	10
28	и все	4	10
29	человек не	2	10
30	что он	4	10
31	было бы	8	10
32	и потому	10	10
33	с тем	7	9
34	в его	5	9
35	не есть	9	9
36	и его	2	9
37	есть лишь	2	9
38	в котором	4	8
39	быть может	4	7
40	в самой	2	7
41	того что	14	7
42	но в	8	7
43	нет ничего	3	7
44	к нему	5	7
45	в себе	14	7
46	в том	23	6
47	все это	5	6
48	лишь в	3	6
49	ведет к	3	6
50	и на	3	6
51	все в	2	6
52	вместе с	6	6
53	только в	15	6
54	в которой	6	6
55	не могут	2	5
56	это не	7	5
57	и я	2	5
58	у нас	2	5
59	как и	14	5
60	то что	29	5
61	что есть	3	5
62	уже в	5	4
63	в этих	3	4
64	и вместе	3	4
65	есть уже	4	4
66	отношение к	2	4
67	и по	3	4
68	а в	5	4
69	духа и	2	4
70	в которых	3	4
71	точки зрения	4	4
72	в них	3	4
73	не как	2	4
74	один из	2	4
75	от него	2	4
76	она не	2	4
77	к ней	2	4
78	что и	7	4
79	есть не	4	4
80	уже не	3	4
81	тем что	10	4
82	к тому	3	3
83	для нас	14	3
84	это есть	3	3
85	для человека	4	3
86	и их	3	3
87	заключает в	8	3
88	не имеет	5	3
89	не так	2	3
90	должно быть	5	3
91	с этим	7	3
92	его в	4	3
93	так как	14	3
94	то есть	34	3
95	и с	4	3
96	человека а	2	3
97	в ее	2	3
98	том что	12	3
99	есть и	2	3
100	что человек	3	3
101	конечно не	2	3
102	на том	2	3
103	бы и	5	3
104	ко всем	3	3
105	когда человек	4	3
106	хотя бы	4	3
107	по своему	2	2
108	вопрос о	2	2
109	в свою	2	2
110	для того	6	2
111	и мы	5	2
112	на этот	2	2
113	в виду	3	2
114	человека из	2	2
115	могут быть	7	2
116	по отношению	10	2
117	быть не	2	2
118	все эти	3	2
119	и что	7	2
120	есть только	5	2
121	света и	2	2
122	сказать что	8	2
123	в более	2	2
124	или от	3	2
125	даже и	3	2
126	в истории	4	2
127	как бы	5	2
128	о том	8	2
129	том смысле	2	2
130	не значит	2	2
131	когда мы	6	2
132	бы в	2	2
133	с ним	5	2
134	не существует	2	2
135	а как	2	2
136	если бы	13	2
137	мысли о	2	2
138	отношению к	8	2
139	мы видим	2	2
140	в то	4	2
141	чем в	2	2
142	все что	2	2
143	до сих	4	2
144	никто не	2	2
145	и к	6	2
146	душевной жизни	3	2
147	и когда	2	2
148	сих пор	4	2
149	как в	7	2
150	и сама	2	2
151	мысли и	7	2
152	бы не	3	2
153	в той	4	2
154	того чтобы	4	2
155	и у	2	2
156	и как	2	2
157	и для	2	2
158	в каком	4	2
159	от его	2	2
