N	3gram	Losev_Prob_4	Vladivir
1	в том что	8	10
2	тем не менее	10	9
3	о том что	3	8
4	с точки зрения	11	6
5	а также и	2	6
6	вместе с тем	3	6
7	это значит что	7	6
8	более или менее	2	5
9	к тому же	2	5
10	необходимо сказать что	3	5
11	в то время	2	4
12	точно так же	3	4
13	содержит в себе	8	4
14	в этом смысле	3	3
15	у нас выше	3	3
16	только в том	3	3
17	хотя бы и	2	3
18	в то же	2	3
19	во всяком случае	4	3
20	вовсе не есть	2	2
21	в данном случае	5	2
22	те или иные	4	2
23	не имеет ничего	2	2
24	даже и не	2	2
25	в связи с	3	2
26	сам по себе	6	2
27	ни в каком	5	2
28	только в виде	2	2
29	в себе и	2	2
30	себе отчет в	2	2
31	но даже и	4	2
32	на самом же	2	2
33	ничего общего с	2	2
34	то время как	2	2
35	с другой стороны	6	2
36	в сравнении с	2	2
37	имеет ничего общего	2	2
38	самом же деле	2	2
