N	3gram	Vinokur_Vv_1	Psycholo
1	в самом деле	5	18
2	в том что	12	11
3	и в самом	3	10
4	с точки зрения	2	9
5	то же самое	2	8
6	для того чтобы	21	8
7	заключается в том	3	6
8	с одной стороны	4	5
9	и т п	5	5
10	с другой стороны	5	5
11	до сих пор	5	5
12	и т д	37	4
13	и в этом	3	3
14	о том что	12	3
15	и то что	2	3
16	смысле этого слова	2	2
17	в данном случае	4	2
18	не в том	2	2
19	вовсе не в	2	2
20	только в том	2	2
21	как мы видели	2	2
22	в прямом смысле	2	2
23	вместе с тем	3	2
24	во всяком случае	3	2
