N	2gram	Propp_Morf_1	KulturaY
1	и т	41	54
2	т е	21	32
3	и в	13	23
4	точки зрения	2	23
5	в том	6	22
6	не только	4	17
7	было бы	3	16
8	в этом	14	16
9	с точки	2	16
10	может быть	52	14
11	самом деле	4	14
12	что в	8	13
13	не менее	5	12
14	для того	2	12
15	потому что	3	12
16	вопрос о	7	11
17	том что	4	11
18	а не	11	11
19	того что	3	11
20	того чтобы	3	11
21	можно было	2	11
22	у нас	2	10
23	и не	12	10
24	прежде всего	9	9
25	тем не	5	9
26	еще не	3	9
27	хотя бы	4	9
28	таким образом	21	9
29	так как	16	9
30	если бы	2	8
31	т д	39	8
32	уже не	2	8
33	в нашем	3	7
34	с другой	8	7
35	если мы	5	7
36	и что	2	7
37	сказать что	2	7
38	все эти	2	7
39	как это	3	7
40	того как	2	7
41	с тем	2	6
42	что и	7	6
43	что он	4	6
44	и тем	2	6
45	так и	6	6
46	не может	14	6
47	то же	7	6
48	могут быть	16	6
49	говорить о	3	6
50	связи с	10	6
51	только в	2	6
52	о том	2	6
53	ничего не	4	6
54	что же	2	5
55	не могут	4	5
56	независимо от	3	5
57	и есть	2	5
58	вовсе не	4	5
59	как и	3	5
60	не в	3	5
61	здесь можно	3	5
62	хотя и	3	5
63	что она	2	5
64	как бы	3	5
65	не значит	2	5
66	все же	7	5
67	не будем	4	5
68	от того	3	5
69	в связи	9	5
70	как мы	6	5
71	а в	7	5
72	но это	6	5
73	также и	4	5
74	тем что	4	5
75	далеко не	5	5
76	в первом	3	5
77	тому что	4	4
78	ясно что	5	4
79	один из	5	4
80	а также	4	4
81	этом случае	8	4
82	для нас	2	4
83	в целом	3	4
84	в сущности	3	4
85	лишь с	2	4
86	то что	8	4
87	как в	3	4
88	целый ряд	3	4
89	что такое	3	4
90	между тем	5	4
91	тех же	4	4
92	в числе	2	4
93	на вопрос	2	3
94	то мы	4	3
95	это уже	3	3
96	это не	6	3
97	на самом	4	3
98	к тому	4	3
99	и к	4	3
100	как же	2	3
101	но как	2	3
102	по существу	12	3
103	это и	2	3
104	то в	3	3
105	но не	4	3
106	в какой	3	3
107	но для	2	3
108	он не	3	3
109	но если	7	3
110	то это	3	3
111	но и	4	3
112	на него	3	3
113	по отношению	4	3
114	другой стороны	4	3
115	а с	2	3
116	мы не	8	3
117	не по	2	3
118	и пр	37	3
119	не имеет	2	3
120	в которых	2	3
121	этот вопрос	2	3
122	в результате	7	3
123	в каком	2	3
124	в то	3	3
125	она не	2	3
126	мы должны	3	3
127	там где	5	3
128	учение о	3	2
129	вопрос в	2	2
130	но все	3	2
131	в частности	2	2
132	первом случае	3	2
133	сразу же	2	2
134	как например	2	2
135	главным образом	4	2
136	в тех	6	2
137	можно сказать	2	2
138	как таковой	2	2
139	и здесь	5	2
140	состоит в	2	2
141	и как	5	2
142	что они	2	2
143	в различных	2	2
144	более или	2	2
145	по своему	2	2
146	а то	3	2
147	смысле слова	4	2
148	в качестве	5	2
149	в свое	2	2
150	в таких	2	2
151	чем это	2	2
152	однако в	2	2
153	его в	2	2
154	не все	6	2
155	но мы	3	2
156	не с	2	2
157	отношению к	4	2
158	в пределах	3	2
159	функции не	2	2
160	в некоторых	3	2
161	дело не	2	2
162	собственном смысле	3	2
163	или менее	2	2
164	только что	2	2
165	это так	2	2
166	перейти к	2	2
167	путь к	2	2
168	так же	3	2
169	то здесь	3	2
170	бы составить	2	2
171	во всяком	2	2
172	что мы	2	2
173	тому как	5	2
174	на этом	3	2
175	о формах	2	2
176	если же	5	2
177	что эти	2	2
178	в этих	13	2
179	в россии	2	2
180	здесь не	2	2
181	из ряда	3	2
182	для каждой	2	2
183	мы имеем	9	2
184	но в	2	2
185	если это	3	2
