N	3gram	Losev_Prob_3	KulturaY
1	и т д	13	14
2	в том что	9	10
3	можно было бы	3	9
4	с точки зрения	2	8
5	с другой стороны	5	7
6	по крайней мере	5	6
7	только потому что	2	6
8	во всяком случае	6	5
9	само по себе	3	5
10	тем не менее	10	5
11	и тем не	3	4
12	не только в	2	4
13	не может быть	5	4
14	в связи с	7	3
15	в то же	4	3
16	точно так же	3	3
17	в конце концов	3	3
18	можно сказать что	2	2
19	но в том	2	2
20	в отличие от	2	2
21	то или иное	2	2
22	дело не в	2	2
23	этой точки зрения	2	2
24	в таких случаях	2	2
25	в нашем смысле	2	2
26	но также и	2	2
27	но даже и	4	2
28	мы говорим о	2	2
29	на самом деле	2	2
30	того или иного	3	2
31	в этом случае	5	2
32	и вовсе не	4	2
33	потому что он	4	2
