N	2gram	Vinokur_St_1	Sotsiolo
1	истории литературы	2	10
2	все это	5	7
3	в том	36	5
4	в этом	21	5
5	не в	12	3
6	для нас	7	3
7	и только	3	3
8	но ведь	8	3
9	в его	9	3
10	более чем	2	3
11	и в	44	3
12	не только	18	3
13	по отношению	3	2
14	еще не	3	2
15	было бы	17	2
16	как будто	4	2
17	только в	10	2
18	в конце	3	2
19	нужно было	2	2
20	по существу	2	2
21	это и	4	2
22	таким образом	7	2
23	том что	29	2
24	то же	5	2
25	отношению к	3	2
26	то что	18	2
27	тем более	4	2
28	может быть	15	2
29	за пределы	2	2
30	литературы и	2	2
31	в результате	3	2
32	в частности	4	2
33	и что	4	2
34	но и	10	2
35	дело не	4	2
36	к которому	4	2
37	как бы	4	2
38	должна быть	3	2
39	что в	30	2
