N	2gram	Berdyaev_M_2	EvropaiC
1	в том	3	31
2	и в	46	24
3	том что	4	20
4	не может	15	18
5	то что	5	17
6	может быть	21	15
7	точки зрения	2	13
8	в своем	8	12
9	до сих	3	12
10	сих пор	3	12
11	в этом	20	12
12	между тем	2	11
13	отношению к	2	10
14	как бы	8	10
15	по отношению	2	10
16	все что	4	10
17	во всех	2	10
18	так и	4	10
19	как и	13	9
20	что в	4	9
21	не в	9	8
22	в самом	5	8
23	так же	6	8
24	чем у	4	8
25	если бы	3	8
26	и все	5	8
27	для этого	4	7
28	к тому	5	7
29	но и	15	7
30	и не	18	7
31	и что	2	7
32	по своей	3	7
33	о том	3	7
34	что он	7	7
35	того чтобы	4	7
36	для того	5	7
37	так что	2	6
38	в этой	7	6
39	того что	6	6
40	и на	3	6
41	так как	8	6
42	с ним	3	6
43	что и	4	6
44	в мире	7	6
45	у них	4	6
46	только в	3	6
47	вместе с	2	6
48	что это	6	5
49	и от	3	5
50	на все	3	5
51	что все	5	5
52	у него	22	5
53	как к	2	5
54	и с	3	5
55	потому что	12	5
56	его в	3	5
57	но в	10	5
58	и к	7	5
59	и если	2	5
60	в его	5	5
61	не только	18	5
62	не будет	3	5
63	быть и	2	5
64	и для	7	5
65	лишь в	2	5
66	в себе	10	5
67	как будто	2	5
68	в которой	2	5
69	никогда не	18	4
70	самого себя	4	4
71	та же	10	4
72	в конце	5	4
73	в такой	3	4
74	это есть	2	4
75	хотя и	2	4
76	отношение к	8	4
77	не так	3	4
78	должно быть	2	4
79	народ в	3	4
80	связи с	2	4
81	он не	10	4
82	не есть	13	4
83	то же	5	4
84	в народе	6	4
85	хотя бы	7	4
86	а лишь	2	3
87	же как	3	3
88	в нашем	7	3
89	в этих	2	3
90	вопрос о	6	3
91	ее и	2	3
92	к которой	3	3
93	как у	2	3
94	в нем	22	3
95	от того	3	3
96	в разных	2	3
97	и других	2	3
98	а в	2	3
99	это не	5	3
100	во имя	16	3
101	и потому	7	3
102	бы в	2	3
103	прежде всего	12	3
104	в жизни	4	3
105	у нас	11	3
106	во всем	5	3
107	чем в	2	3
108	тот же	2	3
109	на почве	3	3
110	на вершине	2	3
111	на земле	8	3
112	жизнь и	4	3
113	должны быть	4	3
114	и это	5	3
115	но на	2	2
116	считает себя	3	2
117	можно ли	3	2
118	себя и	3	2
119	тому что	4	2
120	что у	4	2
121	не стоит	3	2
122	для него	18	2
123	что они	3	2
124	на этом	2	2
125	в свою	4	2
126	он считает	2	2
127	нет в	4	2
128	к нему	2	2
129	но для	2	2
130	в ней	11	2
131	каждого человека	3	2
132	этот процесс	2	2
133	что она	5	2
134	те же	5	2
135	они не	4	2
136	от своей	2	2
137	и те	2	2
138	не было	11	2
139	также и	4	2
140	а для	2	2
141	в основе	2	2
142	не будут	2	2
143	и там	6	2
144	друг к	5	2
145	в них	3	2
146	же что	2	2
147	тогда когда	2	2
148	должен быть	4	2
149	если он	2	2
150	то в	2	2
151	свои силы	2	2
152	она не	8	2
153	жизни и	6	2
154	не от	2	2
155	в сущности	2	2
156	к европе	2	2
157	к другу	5	2
158	что же	2	2
159	но с	2	2
160	одной и	2	2
161	из этой	2	2
162	не знает	9	2
163	есть в	3	2
164	и поэтому	2	2
